ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,SPATIAL_CLUSTER
410001,1,66,Female,Persons on Personal Conveyances,2015,January,Thursday,6:00am-6:59am,Dark - Lighted,Clear,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.0962,-123.4242972,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410003,1,64,Male,Pedestrian,2015,January,Thursday,6:00pm-6:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.47661667,-122.5346667,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Northbound,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410006,1,64,Male,Pedestrian,2015,January,Monday,5:00pm-5:59pm,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.95018333,-122.9934333,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410006,2,63,Female,Pedestrian,2015,January,Monday,5:00pm-5:59pm,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.95018333,-122.9934333,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410008,1,50,Male,Pedestrian,2015,January,Sunday,5:00pm-5:59pm,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.587275,-123.2539444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,0,No Controls,1,"Two-Way, Not Divided",-1
410011,1,31,Female,Pedestrian,2015,January,Wednesday,2:00am-2:59am,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.44081944,-122.7495528,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410014,1,80,Female,Pedestrian,2015,January,Thursday,7:00pm-7:59pm,Dark - Not Lighted,Cloudy,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.50880833,-122.7705222,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410014,2,54,Female,Pedestrian,2015,January,Thursday,7:00pm-7:59pm,Dark - Not Lighted,Cloudy,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.50880833,-122.7705222,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",-1
410024,1,52,Male,Pedestrian,2015,February,Thursday,6:00pm-6:59pm,Dark - Not Lighted,Rain,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.47650278,-122.8033417,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",-1
410025,1,22,Female,Pedestrian,2015,February,Thursday,3:00am-3:59am,Dark - Lighted,Rain,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.50509167,-122.5651194,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",-1
