ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,GEOID,NAMELSAD,MEDIAN_INCOME,TOTAL_POPULATION,PCT_WHITE,PCT_BLACK,PCT_HISPANIC,PCT_TRANSIT_WALK_COMMUTE
410001,1,66,Female,Persons on Personal Conveyances,2015,January,Thursday,6:00am-6:59am,Dark - Lighted,Clear,Urban,Major Collector,Not an Intersection,On Roadway,None / Unknown,45.0962,-123.4242972,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,45,45 MPH,0,No Controls,1,"Two-Way, Not Divided",41071030502,Census Tract 305.02,49134.0,5033,84.68110470892111,0.13908205841446453,6.218954897675342,9.751037344398341
410003,1,64,Male,Pedestrian,2015,January,Thursday,6:00pm-6:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.47661667,-122.5346667,At Intersection,Not a Cyclist,Intersection Area,Not a Cyclist,Northbound,Not a Cyclist,35,35 MPH,0,No Controls,1,"Two-Way, Not Divided",41051008904,Census Tract 89.04,65137.0,4908,54.013854930725344,6.438467807660962,18.887530562347187,4.925053533190578
410006,1,64,Male,Pedestrian,2015,January,Monday,5:00pm-5:59pm,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.95018333,-122.9934333,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41047000703,Census Tract 7.03,56500.0,2626,52.513328255902515,1.4470677837014472,34.84386900228485,3.308823529411765
410006,2,63,Female,Pedestrian,2015,January,Monday,5:00pm-5:59pm,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.95018333,-122.9934333,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41047000703,Census Tract 7.03,56500.0,2626,52.513328255902515,1.4470677837014472,34.84386900228485,3.308823529411765
410008,1,50,Male,Pedestrian,2015,January,Sunday,5:00pm-5:59pm,Dark - Not Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.587275,-123.2539444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,50,50 MPH,0,No Controls,1,"Two-Way, Not Divided",41003000600,Census Tract 6,52371.0,4634,82.75787656452309,1.251618472162279,9.06344410876133,3.2149712092130516
410011,1,31,Female,Pedestrian,2015,January,Wednesday,2:00am-2:59am,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.44081944,-122.7495528,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41067030600,Census Tract 306,103406.0,5762,72.59632072197154,1.423116973273169,13.033668864977438,4.212598425196851
410014,1,80,Female,Pedestrian,2015,January,Thursday,7:00pm-7:59pm,Dark - Not Lighted,Cloudy,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.50880833,-122.7705222,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41067030103,Census Tract 301.03,94063.0,4411,77.2840625708456,2.811153933348447,10.043074132849695,10.451786918408631
410014,2,54,Female,Pedestrian,2015,January,Thursday,7:00pm-7:59pm,Dark - Not Lighted,Cloudy,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.50880833,-122.7705222,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",41067030103,Census Tract 301.03,94063.0,4411,77.2840625708456,2.811153933348447,10.043074132849695,10.451786918408631
410024,1,52,Male,Pedestrian,2015,February,Thursday,6:00pm-6:59pm,Dark - Not Lighted,Rain,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.47650278,-122.8033417,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",41067031100,Census Tract 311,57399.0,3257,62.020264046668714,0.0,34.72520724593184,12.904997254255903
410025,1,22,Female,Pedestrian,2015,February,Thursday,3:00am-3:59am,Dark - Lighted,Rain,Urban,Interstate,Not an Intersection,On Roadway,None / Unknown,45.50509167,-122.5651194,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,55,55 MPH,0,No Controls,3,"Two-Way,  Divided, Positive  Median Barrier",41051008201,Census Tract 82.01,59423.0,3392,52.41745283018868,5.866745283018868,23.732311320754718,18.684210526315788
