ST_CASE,PER_NO,AGE,SEXNAME,PBPTYPENAME,YEAR,MONTHNAME,DAY_WEEKNAME,HOURNAME,LGT_CONDNAME,WEATHER,RUR_URBNAME,FUNC_SYSNAME,TYP_INTNAME,REL_ROADNAME,WRK_ZONENAME,LATITUDE,LONGITUD,PEDLOCNAME,BIKELOCNAME,PEDPOSNAME,BIKEPOSNAME,PEDDIRNAME,BIKEDIRNAME,VSPD_LIM,VSPD_LIMNAME,VTRAFCON,VTRAFCONNAME,VTRAFWAY,VTRAFWAYNAME,SPATIAL_CLUSTER
410041,1,26,Female,Pedestrian,2015,February,Sunday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.0457,-122.9347111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",0
410041,2,4,Male,Pedestrian,2015,February,Sunday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.0457,-122.9347111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",0
410041,3,5,Female,Pedestrian,2015,February,Sunday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.0457,-122.9347111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",0
410041,4,8,Male,Pedestrian,2015,February,Sunday,4:00pm-4:59pm,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.0457,-122.9347111,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Southbound,Not a Cyclist,40,40 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",0
410067,1,54,Male,Pedestrian,2015,January,Monday,5:00pm-5:59pm,Dark - Lighted,"Fog, Smog, Smoke",Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.42752778,-122.634225,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",4
410276,1,46,Female,Pedestrian,2015,October,Monday,8:00am-8:59am,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.52192778,-122.4771444,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,3,"Two-Way,  Divided, Positive  Median Barrier",1
410322,1,44,Female,Pedestrian,2015,August,Sunday,9:00pm-9:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.42551667,-122.6338917,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",4
410188,1,20,Male,Pedestrian,2016,July,Friday,2:00am-2:59am,Dark - Lighted,Clear,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,44.99689722,-123.0266472,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Westbound,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",2
410227,1,25,Female,Bicyclist,2016,July,Saturday,8:00am-8:59am,Daylight,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.46866944,-122.5790639,Not a Pedestrian,At Intersection,Not a Pedestrian,Bicycle Lane / Paved Shoulder / Parking Lane,Not a Pedestrian,With Traffic,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",3
410387,1,56,Male,Persons on Personal Conveyances,2016,October,Saturday,8:00pm-8:59pm,Dark - Not Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.42689722,-122.6337444,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,40,40 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",4
410086,1,45,Male,Pedestrian,2017,May,Friday,4:00am-4:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.46811667,-122.5790694,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",3
410168,1,23,Male,Pedestrian,2017,July,Monday,10:00pm-10:59pm,Dark - Not Lighted,Clear,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.5013,-122.5376583,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",7
410293,1,40,Male,Pedestrian,2017,November,Sunday,7:00pm-7:59pm,Dark - Lighted,Rain,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.51912778,-122.5136278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,0,No Controls,1,"Two-Way, Not Divided",8
410343,1,61,Male,Pedestrian,2017,September,Monday,6:00am-6:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,T-Intersection,On Roadway,None / Unknown,45.58466389,-122.6826167,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Northbound,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",9
410144,1,32,Male,Bicyclist,2018,June,Wednesday,7:00pm-7:59pm,Daylight,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.55384722,-123.2649556,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Sidewalk  / Crosswalk / Driveway Access,Not a Pedestrian,With Traffic,25,25 MPH,97,Not Reported,3,"Two-Way,  Divided, Positive  Median Barrier",10
410405,1,52,Female,Bicyclist,2018,October,Monday,11:00am-11:59am,Daylight,Clear,Urban,Principal Arterial - Other,T-Intersection,On Roadway,Construction,45.47004722,-122.5790472,Not a Pedestrian,At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,With Traffic,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",3
410409,1,64,Male,Pedestrian,2018,October,Friday,6:00pm-6:59pm,Dark - Lighted,Rain,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.51919444,-122.5132417,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,30,30 MPH,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",8
410119,1,68,Female,Pedestrian,2019,March,Tuesday,3:00pm-3:59pm,Daylight,Cloudy,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,44.99689167,-123.0262278,Not At Intersection,Not a Cyclist,Sidewalk / Shared-Use Path / Driveway Access,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",2
410313,1,49,Male,Pedestrian,2019,July,Sunday,9:00pm-9:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,45.51745556,-122.9739417,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,2,Traffic control signal (on colors) with Pedestrian Signal,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",11
410371,1,32,Male,Bicyclist,2019,October,Monday,2:00pm-2:59pm,Daylight,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.55347778,-123.2649778,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Unknown,98,Not Reported,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",10
410406,1,76,Male,Bicyclist,2019,December,Friday,7:00pm-7:59pm,Dark - Lighted,Rain,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.51626667,-122.9739583,Not a Pedestrian,Not At Intersection,Not a Pedestrian,Travel Lane,Not a Pedestrian,Facing Traffic,98,Not Reported,0,No Controls,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",11
410473,1,50,Male,Pedestrian,2019,December,Saturday,5:00pm-5:59pm,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,45.520625,-122.477125,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,98,Not Reported,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",1
410243,1,11,Female,Pedestrian,2020,January,Wednesday,6:00pm-6:59pm,Dark - Unknown Lighting,Not Reported,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.55384722,-123.26501944,Not At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Applicable,Not a Cyclist,25,25 MPH,40,Warning Sign,2,"Two-Way, Divided, Unprotected Median",10
410250,1,58,Female,Pedestrian,2020,January,Friday,6:00pm-6:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.04565556,-122.93375,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",0
410253,1,52,Female,Pedestrian,2020,February,Tuesday,10:00pm-10:59pm,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,On Roadway,None / Unknown,44.99714722,-123.02665833,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",2
410389,1,51,Female,Pedestrian,2020,December,Thursday,7:00pm-7:59pm,Dark - Lighted,Rain | Cloudy,Urban,Minor Arterial,Not an Intersection,On Roadway,None / Unknown,45.50037778,-122.53765278,Not At Intersection,Not a Cyclist,Travel Lane,Not a Cyclist,Not Applicable,Not a Cyclist,30,30 MPH,97,Not Reported,1,"Two-Way, Not Divided",7
410191,1,35,Female,Pedestrian,2021,July,Wednesday,10:00pm-10:59pm,Dark - Lighted,Clear,Urban,Principal Arterial - Other,Four-Way Intersection,On Roadway,None / Unknown,44.94685556,-123.03723889,At Intersection,Not a Cyclist,Crosswalk Area,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,30,30 MPH,2,Traffic control signal (on colors) with Pedestrian Signal,1,"Two-Way, Not Divided",12
410523,1,45,Male,Pedestrian,2021,November,Saturday,0:00am-0:59am,Dark - Lighted,Cloudy,Urban,Minor Arterial,Four-Way Intersection,On Roadway,None / Unknown,45.50013056,-122.53759722,Intersection-Related,Not a Cyclist,Travel Lane,Not a Cyclist,Not Derived/Unknown Initial Direction of Travel,Not a Cyclist,98,Not Reported,97,Not Reported,2,"Two-Way, Divided, Unprotected Median",7
410115,1,24,Male,Pedestrian,2022,March,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,Outside Trafficway,None / Unknown,44.94690556,-123.03901944,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",12
410115,2,21,Male,Pedestrian,2022,March,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,Outside Trafficway,None / Unknown,44.94690556,-123.03901944,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",12
410115,3,54,Male,Pedestrian,2022,March,Sunday,2:00am-2:59am,Dark - Lighted,Cloudy,Urban,Principal Arterial - Other,Not an Intersection,Outside Trafficway,None / Unknown,44.94690556,-123.03901944,Non-Trafficway Location,Not a Cyclist,Non-Trafficway - Parking Lot/Other,Not a Cyclist,Not Applicable,Not a Cyclist,35,35 MPH,97,Not Reported,1,"Two-Way, Not Divided",12
