Cluster_ID,Unique_Incidents,Total_Fatalities,Years_Active,Centroid_Latitude,Centroid_Longitude,Radius_Meters,Median_Age,Dominant_RUR_URBNAME,Dominant_FUNC_SYSNAME,Dominant_VTRAFWAYNAME,Dominant_VSPD_LIMNAME,Dominant_TYP_INTNAME,Dominant_VTRAFCONNAME,Dominant_LGT_CONDNAME,Dominant_WEATHER,Dominant_PEDPOSNAME
3,4,4,"2016, 2017, 2018, 2024",45.46876,-122.57906,163.1,44.5,Urban,Principal Arterial - Other,"Two-Way, Not Divided",Not Reported,Not an Intersection,Not Reported,Dark - Lighted,Clear,Not a Pedestrian
1,3,3,"2015, 2019, 2023",45.52156,-122.47707,123.6,46.0,Urban,Principal Arterial - Other,"Two-Way,  Divided, Positive  Median Barrier",35 MPH,Four-Way Intersection,Traffic control signal (on colors) with Pedestrian Signal,Dark - Lighted,Clear,Crosswalk Area
2,3,3,"2016, 2019, 2020",44.99698,-123.02651,44.3,52.0,Urban,Minor Arterial,"Two-Way, Not Divided With a Continuous Left-Turn Lane",35 MPH,Not an Intersection,Not Reported,Dark - Lighted,Cloudy,Crosswalk Area
4,3,3,"2015, 2016",45.42665,-122.63395,145.8,54.0,Urban,Principal Arterial - Other,"Two-Way, Not Divided With a Continuous Left-Turn Lane",40 MPH,Not an Intersection,No Controls,Dark - Not Lighted,Clear,Travel Lane
7,3,3,"2017, 2020, 2021",45.5006,-122.53764,97.5,45.0,Urban,Minor Arterial,"Two-Way, Divided, Unprotected Median",30 MPH,Not an Intersection,Not Reported,Dark - Lighted,Clear,Travel Lane
8,3,3,"2017, 2018, 2022",45.51915,-122.51342,36.4,40.0,Urban,Minor Arterial,"Two-Way, Not Divided With a Continuous Left-Turn Lane",30 MPH,Four-Way Intersection,Not Reported,Dark - Lighted,Rain,Crosswalk Area
9,3,3,"2017, 2022, 2024",45.58469,-122.68272,31.8,50.0,Urban,Principal Arterial - Other,"Two-Way, Not Divided",Not Reported,T-Intersection,Traffic control signal (on colors) with Pedestrian Signal,Dark - Lighted,Clear,Crosswalk Area
10,3,3,"2018, 2019, 2020",44.55372,-123.26498,47.4,32.0,Urban,Principal Arterial - Other,"Two-Way,  Divided, Positive  Median Barrier",25 MPH,Not an Intersection,Not Reported,Daylight,Not Reported,Not a Pedestrian
11,3,3,"2019, 2022",45.51682,-122.97398,91.1,63.0,Urban,Principal Arterial - Other,"Two-Way, Not Divided With a Continuous Left-Turn Lane",Not Reported,Not an Intersection,No Controls,Dark - Lighted,Clear,Crosswalk Area
12,2,7,"2021, 2022",44.9469,-123.03877,140.2,29.0,Urban,Principal Arterial - Other,"Two-Way, Not Divided",35 MPH,Not an Intersection,Not Reported,Dark - Lighted,Cloudy,Non-Trafficway - Parking Lot/Other
0,2,5,"2015, 2020",44.04569,-122.93452,81.6,8.0,Urban,Principal Arterial - Other,"Two-Way, Not Divided With a Continuous Left-Turn Lane",40 MPH,Four-Way Intersection,Traffic control signal (on colors) with Pedestrian Signal,Daylight,Clear,Crosswalk Area
