STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,CITY,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
41,Oregon,410001,1,1,0,1,1,1,1,71,1890,1,1,1,January,2015,5,Thursday,6,6:00am-6:59am,55,55,0,This section IS NOT on the NHS,3,State Highway,SR-18B (ODOT 157),,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,59,59,45.0962,45.0962,-123.4242972,-123.42429722,0,No Special Jurisdiction,15,Non-Motorist on Personal Conveyance,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,6,6:00am-6:59am,56,56,7,7:00am-7:59am,3,3,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410002,2,2,0,0,3,3,0,43,0,1,1,1,January,2015,5,Thursday,19,7:00pm-7:59pm,0,0,1,This section IS ON the NHS,3,State Highway,SR-34 (ODOT 210),,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,120,120,44.55538889,44.55538889,-123.0301944,-123.03019444,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,59,59,19,7:00pm-7:59pm,7,7,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,,0,,0,,2,0
41,Oregon,410003,1,1,0,1,1,1,1,51,1650,1,1,1,January,2015,5,Thursday,18,6:00pm-6:59pm,7,7,1,This section IS ON the NHS,2,U.S. Highway,US-26 (ODOT 26),SE 126TH PL,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,74,74,45.47661667,45.47661667,-122.5346667,-122.53466667,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,7,7,18,6:00pm-6:59pm,13,13,18,6:00pm-6:59pm,41,41,0,,0,,0,,1,0
41,Oregon,410004,2,2,0,0,3,3,0,67,0,4,4,1,January,2015,1,Sunday,10,10:00am-10:59am,35,35,0,This section IS NOT on the NHS,4,County Road,CR-NW SUSBAUER RD,,2,Urban,5,Major Collector,2,County Highway Agency,0,,45.53831111,45.53831111,-123.0423361,-123.04233611,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,1,Daylight,2,Rain,10,Cloudy,2,Rain,0,No,0000000,Not Applicable,10,10:00am-10:59am,36,36,10,10:00am-10:59am,40,40,11,11:00am-11:59am,22,22,0,,0,,0,,1,0
41,Oregon,410005,2,2,0,0,4,4,0,67,0,6,6,1,January,2015,3,Tuesday,7,7:00am-7:59am,55,55,0,This section IS NOT on the NHS,4,County Road,CR-SW BALD PEAK RD,,1,Rural,5,Major Collector,2,County Highway Agency,0,,45.41917222,45.41917222,-123.0398472,-123.03984722,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,7,Sideswipe - Same Direction,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,4,Dawn,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,7,7:00am-7:59am,56,56,8,8:00am-8:59am,5,5,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,0
41,Oregon,410006,1,1,0,2,1,1,2,47,1810,5,5,1,January,2015,2,Monday,17,5:00pm-5:59pm,22,22,1,This section IS ON the NHS,6,Local Street - Municipality,MARKET ST NE,,2,Urban,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,,44.95018333,44.95018333,-122.9934333,-122.99343333,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,4,Driveway Access,1,Not an Intersection,0,,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,23,23,17,5:00pm-5:59pm,25,25,17,5:00pm-5:59pm,43,43,0,,0,,0,,2,0
41,Oregon,410007,1,1,0,0,1,1,0,29,0,9,9,1,January,2015,6,Friday,19,7:00pm-7:59pm,43,43,0,This section IS NOT on the NHS,4,County Road,CR-QUEENS BRANCH RD,CR-W EVANS CREEK RD,1,Rural,6,Minor Collector,2,County Highway Agency,77,77,42.535025,42.535025,-123.1901583,-123.19015833,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,2,Intersection,3,T-Intersection,0,,1,On Roadway,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,19,7:00pm-7:59pm,43,43,19,7:00pm-7:59pm,51,51,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,1
41,Oregon,410008,1,1,0,1,2,2,1,3,420,11,11,1,January,2015,1,Sunday,17,5:00pm-5:59pm,53,53,1,This section IS ON the NHS,3,State Highway,SR-99 (ODOT 91),,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,821,821,44.587275,44.587275,-123.2539444,-123.25394444,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,,0,,0,,1,0
41,Oregon,410009,1,1,0,0,1,1,0,9,0,13,13,1,January,2015,3,Tuesday,18,6:00pm-6:59pm,27,27,0,This section IS NOT on the NHS,3,State Highway,SR-47 (ODOT 102),,1,Rural,4,Minor Arterial,1,State Highway Agency,545,545,45.92410556,45.92410556,-123.1420111,-123.14201111,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,5,Outside Trafficway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,27,27,18,6:00pm-6:59pm,34,34,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,1
41,Oregon,410010,1,1,0,0,1,1,0,35,0,18,18,1,January,2015,1,Sunday,2,2:00am-2:59am,36,36,0,This section IS NOT on the NHS,4,County Road,CR-ANDERSON RD,,1,Rural,7,Local,2,County Highway Agency,11,11,42.03869722,42.03869722,-121.5482389,-121.54823889,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,2,2:00am-2:59am,35,35,2,2:00am-2:59am,52,52,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,,0,,0,,1,1
