STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,COUNTYNAME,CITY,CITYNAME,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS,DRUNK_DR
41,Oregon,410001,1,1,0,0,0,2,2,41,LINCOLN (41),0,NOT APPLICABLE,3,3,1,January,2020,6,Friday,23,11:00pm-11:59pm,47,47,1,This section IS ON the NHS,2,U.S. Highway,US-20 ODOT 33,,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,330,330,44.63463056,44.63463056,-123.94624167,-123.94624167,0,No Special Jurisdiction,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,11,11:00am-11:59am,47,47,12,12:00pm-12:59pm,10,10,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410002,2,2,0,0,0,2,2,35,KLAMATH (35),0,NOT APPLICABLE,9,9,1,January,2020,5,Thursday,9,9:00am-9:59am,55,55,0,This section IS NOT on the NHS,2,U.S. Highway,US-97 ODOT 50,,1,Rural,5,Major Collector,1,State Highway Agency,210,210,42.01676944,42.01676944,-121.466925,-121.466925,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,9,9:00am-9:59am,56,56,10,10:00am-10:59am,8,8,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410003,2,2,0,0,0,3,3,57,TILLAMOOK (57),0,NOT APPLICABLE,8,8,1,January,2020,4,Wednesday,6,6:00am-6:59am,49,49,0,This section IS NOT on the NHS,4,County Road,CR-MCCORMICK LOOP RD,,1,Rural,6,Minor Collector,2,County Highway Agency,16,16,45.43935833,45.43935833,-123.80119167,-123.80119167,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,6,6:00am-6:59am,49,49,7,7:00am-7:59am,6,6,99,Unknown,99,Unknown EMS Hospital Arrival Time,1,0
41,Oregon,410004,1,1,0,0,0,1,1,49,MORROW (49),0,NOT APPLICABLE,20,20,1,January,2020,2,Monday,6,6:00am-6:59am,1,1,0,This section IS NOT on the NHS,4,County Road,CR-BOMBING RANGE RD,,1,Rural,5,Major Collector,2,County Highway Agency,73,73,45.580075,45.580075,-119.60121667,-119.60121667,0,No Special Jurisdiction,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,6,6:00am-6:59am,4,4,6,6:00am-6:59am,33,33,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410005,2,2,0,0,0,2,2,47,MARION (47),0,NOT APPLICABLE,1,1,2,February,2020,7,Saturday,7,7:00am-7:59am,59,59,1,This section IS ON the NHS,1,Interstate,I-5,,2,Urban,1,Interstate,1,State Highway Agency,2508,2508,44.87403333,44.87403333,-123.00012778,-123.00012778,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,,2,On Shoulder,1,Daylight,2,Rain,0,No,0000000,Not Applicable,7,7:00am-7:59am,59,59,8,8:00am-8:59am,5,5,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,0
41,Oregon,410006,1,1,0,0,0,1,1,21,GILLIAM (21),0,NOT APPLICABLE,4,4,2,February,2020,3,Tuesday,21,9:00pm-9:59pm,20,20,1,This section IS ON the NHS,1,Interstate,I-84,,1,Rural,1,Interstate,1,State Highway Agency,1494,1494,45.80058056,45.80058056,-119.99971944,-119.99971944,0,No Special Jurisdiction,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,9,9:00am-9:59am,22,22,99,Unknown EMS Scene Arrival Hour,97,Officially Cancelled,99,Unknown,97,Officially Canceled,1,1
41,Oregon,410007,2,2,0,0,0,2,2,51,MULTNOMAH (51),1650,PORTLAND,8,8,2,February,2020,7,Saturday,1,1:00am-1:59am,6,6,1,This section IS ON the NHS,1,Interstate,I-205,,2,Urban,1,Interstate,1,State Highway Agency,256,256,45.58489722,45.58489722,-122.54425833,-122.54425833,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,3,Dark - Lighted,2,Rain,0,No,0000000,Not Applicable,1,1:00am-1:59am,6,6,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
41,Oregon,410008,2,2,0,0,0,2,2,39,LANE (39),0,NOT APPLICABLE,27,27,2,February,2020,5,Thursday,15,3:00pm-3:59pm,36,36,1,This section IS ON the NHS,3,State Highway,SR-26 ODOT 15,,1,Rural,3,Principal Arterial - Other,1,State Highway Agency,130,130,44.0687,44.0687,-122.80351111,-122.80351111,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,0,,1,On Roadway,1,Daylight,1,Clear,0,No,0000000,Not Applicable,15,3:00pm-3:59pm,36,36,15,3:00pm-3:59pm,42,42,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
41,Oregon,410009,1,1,0,0,0,1,1,5,CLACKAMAS (5),0,NOT APPLICABLE,29,29,2,February,2020,7,Saturday,0,0:00am-0:59am,8,8,0,This section IS NOT on the NHS,4,County Road,CR-SE EAGLE CREEK RD,,1,Rural,5,Major Collector,2,County Highway Agency,0,,45.35218056,45.35218056,-122.35058611,-122.35058611,0,No Special Jurisdiction,38,Fence,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
41,Oregon,410010,1,1,0,0,0,1,1,67,WASHINGTON (67),1000,HILLSBORO,1,1,3,March,2020,1,Sunday,20,8:00pm-8:59pm,40,40,0,This section IS NOT on the NHS,6,Local Street - Municipality,NE 15TH AVE,,2,Urban,5,Major Collector,4,City or Municipal Highway Agency,0,,45.541425,45.541425,-122.966425,-122.966425,0,No Special Jurisdiction,33,Curb,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,3,Dark - Lighted,1,Clear,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,40,40,20,8:00pm-8:59pm,43,43,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
41,Oregon,410011,1,1,0,0,0,1,1,21,GILLIAM (21),0,NOT APPLICABLE,2,2,3,March,2020,2,Monday,7,7:00am-7:59am,22,22,0,This section IS NOT on the NHS,4,County Road,CR-SNIPTION CANYON LN,,1,Rural,7,Local,2,County Highway Agency,20,20,45.21421389,45.21421389,-120.21648333,-120.21648333,0,No Special Jurisdiction,35,Embankment,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,0,,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,7,7:00am-7:59am,28,28,7,7:00am-7:59am,35,35,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1,1
