STATE,STATENAME,ST_CASE,PEDS,PERNOTMVIT,VE_TOTAL,VE_FORMS,PVH_INVL,PERSONS,PERMVIT,COUNTY,COUNTYNAME,CITY,CITYNAME,MONTH,MONTHNAME,DAY,DAYNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,TWAY_ID,TWAY_ID2,ROUTE,ROUTENAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,NHS,NHSNAME,SP_JUR,SP_JURNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WRK_ZONE,WRK_ZONENAME,LGT_COND,LGT_CONDNAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,FATALS
41,Oregon,410001,0,0,4,1,3,1,1,51,MULTNOMAH (51),1650,PORTLAND,1,January,1,1,1,Sunday,2023,0,0:00am-0:59am,33,33,SE 125TH AVE,,0,Not Signed,2,Urban,7,Local,4,City or Municipal Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,0,,45.50252778,45.50252778,-122.53481944,-122.53481944,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410002,0,0,2,2,0,3,3,19,DOUGLAS (19),0,NOT APPLICABLE,1,January,2,2,2,Monday,2023,21,9:00pm-9:59pm,30,30,SR-42 ODOT 35,,3,State Highway,1,Rural,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,705,705,43.10633889,43.10633889,-123.46397222,-123.46397222,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,21,9:00pm-9:59pm,32,32,21,9:00pm-9:59pm,41,41,99,Unknown,99,Unknown EMS Hospital Arrival Time,2
41,Oregon,410003,3,3,4,3,1,8,8,35,KLAMATH (35),0,NOT APPLICABLE,1,January,2,2,2,Monday,2023,19,7:00pm-7:59pm,8,8,US-97 ODOT 4,,2,U.S. Highway,1,Rural,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,2350,2350,42.76370833,42.76370833,-121.83748056,-121.83748056,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,2,Dark - Not Lighted,1,Clear,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,8,8,19,7:00pm-7:59pm,42,42,99,Unknown,99,Unknown EMS Hospital Arrival Time,2
41,Oregon,410004,0,0,1,1,0,1,1,29,JACKSON (29),0,NOT APPLICABLE,1,January,3,3,3,Tuesday,2023,6,6:00am-6:59am,30,30,SR-238 ODOT 272,,3,State Highway,1,Rural,4,Minor Arterial,1,State Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,203,203,42.24351667,42.24351667,-123.13537778,-123.13537778,18,Other Object (not fixed),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,6,6:00am-6:59am,43,43,6,6:00am-6:59am,54,54,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410005,0,0,1,1,0,1,1,29,JACKSON (29),0,NOT APPLICABLE,1,January,1,1,1,Sunday,2023,15,3:00pm-3:59pm,46,46,SUNSET DR,,0,Not Signed,2,Urban,5,Major Collector,2,County Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,0,,42.30135833,42.30135833,-122.90561944,-122.90561944,42,Tree (Standing Only),0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,4,On Roadside,0,,1,Daylight,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410006,0,0,2,2,0,2,2,3,BENTON (3),0,NOT APPLICABLE,1,January,4,4,4,Wednesday,2023,15,3:00pm-3:59pm,50,50,US-20 ODOT 31,,2,U.S. Highway,1,Rural,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,79,79,44.64012222,44.64012222,-123.15116111,-123.15116111,54,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",11,Other,0,No,1,Non-Junction,1,Not an Intersection,1,On Roadway,0,,1,Daylight,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
41,Oregon,410007,2,2,1,1,0,1,1,67,WASHINGTON (67),700,FOREST GROVE,1,January,5,5,5,Thursday,2023,6,6:00am-6:59am,49,49,SR-8 19TH AVE,HAWTHORNE ST,3,State Highway,2,Urban,4,Minor Arterial,4,City or Municipal Highway Agency,0,This Section IS NOT on the NHS,0,No Special Jurisdiction,0,,45.51831667,45.51831667,-123.09916389,-123.09916389,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,1,On Roadway,0,,9,Reported as Unknown,10,Cloudy,0,No,0000000,Not Applicable,6,6:00am-6:59am,50,50,6,6:00am-6:59am,58,58,99,Unknown,99,Unknown EMS Hospital Arrival Time,1
41,Oregon,410008,1,1,2,2,0,2,2,39,LANE (39),0,NOT APPLICABLE,1,January,5,5,5,Thursday,2023,18,6:00pm-6:59pm,9,9,SR-126 ODOT 15,,3,State Highway,1,Rural,3,Other Principal Arterial,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,143,143,44.07581111,44.07581111,-122.77863889,-122.77863889,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,2,On Shoulder,0,,2,Dark - Not Lighted,10,Cloudy,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,10,10,18,6:00pm-6:59pm,21,21,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410009,1,1,1,1,0,1,1,51,MULTNOMAH (51),1650,PORTLAND,1,January,6,6,6,Friday,2023,17,5:00pm-5:59pm,18,18,SE DIVISION ST,SE 168TH AVE,0,Not Signed,2,Urban,3,Other Principal Arterial,4,City or Municipal Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,0,,45.50458333,45.50458333,-122.48956111,-122.48956111,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,3,Intersection-Related,2,Four-Way Intersection,1,On Roadway,0,,3,Dark - Lighted,10,Cloudy,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,19,19,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
41,Oregon,410010,1,1,1,1,0,2,2,59,UMATILLA (59),0,NOT APPLICABLE,1,January,8,8,1,Sunday,2023,16,4:00pm-4:59pm,30,30,I-84,,1,Interstate,1,Rural,1,Interstate,1,State Highway Agency,1,This Section IS ON the NHS,0,No Special Jurisdiction,1988,1988,45.71720833,45.71720833,-119.00937222,-119.00937222,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,1,Non-Junction,1,Not an Intersection,3,On Median,0,,5,Dusk,3,Sleet or Hail,0,No,0000000,Not Applicable,16,4:00pm-4:59pm,30,30,16,4:00pm-4:59pm,37,37,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),1
