STATE,STATENAME,ST_CASE,CRASHRF,CRASHRFNAME
41,Oregon,410001,0,
41,Oregon,410002,0,
41,Oregon,410003,0,
41,Oregon,410004,0,
41,Oregon,410005,0,
41,Oregon,410006,0,
41,Oregon,410007,0,
41,Oregon,410008,0,
41,Oregon,410009,0,
41,Oregon,410010,0,
41,Oregon,410011,0,
41,Oregon,410012,0,
41,Oregon,410013,0,
41,Oregon,410014,0,
41,Oregon,410015,0,
41,Oregon,410016,0,
41,Oregon,410017,0,
41,Oregon,410018,0,
41,Oregon,410019,0,
41,Oregon,410020,0,
41,Oregon,410021,0,
41,Oregon,410022,0,
41,Oregon,410023,0,
41,Oregon,410024,0,
41,Oregon,410025,0,
41,Oregon,410026,0,
41,Oregon,410027,0,
41,Oregon,410028,0,
41,Oregon,410029,0,
41,Oregon,410030,0,
41,Oregon,410031,23,Indication of a Stalled/Disabled Vehicle
41,Oregon,410032,0,
41,Oregon,410033,0,
41,Oregon,410034,0,
41,Oregon,410035,0,
41,Oregon,410036,0,
41,Oregon,410037,0,
41,Oregon,410038,0,
41,Oregon,410039,0,
41,Oregon,410040,0,
41,Oregon,410041,0,
41,Oregon,410042,0,
41,Oregon,410043,0,
41,Oregon,410044,0,
41,Oregon,410045,0,
41,Oregon,410046,0,
41,Oregon,410047,0,
41,Oregon,410048,0,
41,Oregon,410049,0,
41,Oregon,410050,0,
41,Oregon,410051,0,
41,Oregon,410052,0,
41,Oregon,410053,0,
41,Oregon,410054,0,
41,Oregon,410055,0,
41,Oregon,410056,0,
41,Oregon,410057,0,
41,Oregon,410058,0,
41,Oregon,410059,0,
41,Oregon,410060,0,
41,Oregon,410061,0,
41,Oregon,410062,0,
41,Oregon,410063,0,
41,Oregon,410064,0,
41,Oregon,410065,0,
41,Oregon,410066,0,
41,Oregon,410067,0,
41,Oregon,410068,0,
41,Oregon,410069,0,
41,Oregon,410070,0,
41,Oregon,410071,0,
41,Oregon,410072,0,
41,Oregon,410073,0,
41,Oregon,410074,0,
41,Oregon,410075,0,
41,Oregon,410076,0,
41,Oregon,410077,0,
41,Oregon,410078,0,
41,Oregon,410079,0,
41,Oregon,410080,0,
41,Oregon,410081,0,
41,Oregon,410082,0,
41,Oregon,410083,0,
41,Oregon,410084,0,
41,Oregon,410085,0,
41,Oregon,410086,0,
41,Oregon,410087,0,
41,Oregon,410088,0,
41,Oregon,410089,0,
41,Oregon,410090,0,
41,Oregon,410091,0,
41,Oregon,410092,0,
41,Oregon,410093,0,
41,Oregon,410094,0,
41,Oregon,410095,0,
41,Oregon,410096,0,
41,Oregon,410097,0,
41,Oregon,410098,0,
41,Oregon,410099,0,
41,Oregon,410100,0,
41,Oregon,410101,0,
41,Oregon,410102,0,
41,Oregon,410103,0,
41,Oregon,410104,0,
41,Oregon,410105,0,
41,Oregon,410106,0,
41,Oregon,410107,0,
41,Oregon,410108,0,
41,Oregon,410109,0,
41,Oregon,410110,0,
41,Oregon,410111,0,
41,Oregon,410112,0,
41,Oregon,410113,0,
41,Oregon,410114,0,
41,Oregon,410115,0,
41,Oregon,410116,0,
41,Oregon,410117,0,
41,Oregon,410118,0,
41,Oregon,410119,0,
41,Oregon,410120,0,
41,Oregon,410121,0,
41,Oregon,410122,0,
41,Oregon,410123,0,
41,Oregon,410124,0,
41,Oregon,410125,0,
41,Oregon,410126,0,
41,Oregon,410127,0,
41,Oregon,410128,0,
41,Oregon,410129,0,
41,Oregon,410130,0,
41,Oregon,410131,0,
41,Oregon,410132,0,
41,Oregon,410133,0,
41,Oregon,410134,23,Indication of a Stalled/Disabled Vehicle
41,Oregon,410135,0,
41,Oregon,410136,0,
41,Oregon,410138,0,
41,Oregon,410139,0,
41,Oregon,410140,0,
41,Oregon,410141,0,
41,Oregon,410142,0,
41,Oregon,410143,0,
41,Oregon,410144,0,
41,Oregon,410145,0,
41,Oregon,410146,0,
41,Oregon,410147,0,
41,Oregon,410148,0,
41,Oregon,410149,0,
41,Oregon,410150,0,
41,Oregon,410151,0,
41,Oregon,410152,0,
41,Oregon,410153,0,
41,Oregon,410154,0,
41,Oregon,410155,0,
41,Oregon,410156,0,
41,Oregon,410157,0,
41,Oregon,410158,0,
41,Oregon,410159,0,
41,Oregon,410160,0,
41,Oregon,410161,0,
41,Oregon,410162,0,
41,Oregon,410163,0,
41,Oregon,410164,0,
41,Oregon,410165,0,
41,Oregon,410166,0,
41,Oregon,410167,0,
41,Oregon,410168,0,
41,Oregon,410169,0,
41,Oregon,410170,0,
41,Oregon,410171,0,
41,Oregon,410172,0,
41,Oregon,410173,0,
41,Oregon,410174,0,
41,Oregon,410175,0,
41,Oregon,410176,0,
41,Oregon,410177,0,
41,Oregon,410178,0,
41,Oregon,410179,0,
41,Oregon,410180,0,
41,Oregon,410181,0,
41,Oregon,410182,0,
41,Oregon,410183,0,
41,Oregon,410184,0,
41,Oregon,410185,0,
41,Oregon,410186,0,
41,Oregon,410187,0,
41,Oregon,410188,0,
41,Oregon,410189,0,
41,Oregon,410190,0,
41,Oregon,410191,0,
41,Oregon,410192,0,
41,Oregon,410193,0,
41,Oregon,410194,0,
41,Oregon,410195,0,
41,Oregon,410196,0,
41,Oregon,410197,0,
41,Oregon,410198,0,
41,Oregon,410199,0,
41,Oregon,410200,0,
41,Oregon,410201,0,
41,Oregon,410202,0,
41,Oregon,410203,0,
41,Oregon,410204,0,
41,Oregon,410205,0,
41,Oregon,410206,0,
41,Oregon,410207,0,
41,Oregon,410208,0,
41,Oregon,410209,0,
41,Oregon,410210,0,
41,Oregon,410211,0,
41,Oregon,410212,0,
41,Oregon,410213,0,
41,Oregon,410214,0,
41,Oregon,410215,0,
41,Oregon,410216,0,
41,Oregon,410217,0,
41,Oregon,410218,0,
41,Oregon,410219,0,
41,Oregon,410220,0,
41,Oregon,410221,0,
41,Oregon,410222,0,
41,Oregon,410223,0,
41,Oregon,410224,0,
41,Oregon,410225,0,
41,Oregon,410226,0,
41,Oregon,410227,0,
41,Oregon,410228,0,
41,Oregon,410229,0,
41,Oregon,410230,0,
41,Oregon,410231,0,
41,Oregon,410232,0,
41,Oregon,410233,0,
41,Oregon,410234,0,
41,Oregon,410235,0,
41,Oregon,410236,0,
41,Oregon,410237,0,
41,Oregon,410238,0,
41,Oregon,410239,0,
41,Oregon,410240,0,
41,Oregon,410241,0,
41,Oregon,410242,0,
41,Oregon,410243,0,
41,Oregon,410246,0,
41,Oregon,410247,0,
41,Oregon,410248,0,
41,Oregon,410249,0,
41,Oregon,410250,0,
41,Oregon,410251,0,
41,Oregon,410252,0,
41,Oregon,410253,0,
41,Oregon,410254,0,
41,Oregon,410255,0,
41,Oregon,410256,0,
41,Oregon,410257,23,Indication of a Stalled/Disabled Vehicle
41,Oregon,410258,0,
41,Oregon,410259,0,
41,Oregon,410260,0,
41,Oregon,410261,0,
41,Oregon,410262,0,
41,Oregon,410263,0,
41,Oregon,410264,0,
41,Oregon,410265,0,
41,Oregon,410266,0,
41,Oregon,410267,0,
41,Oregon,410268,0,
41,Oregon,410269,0,
41,Oregon,410270,0,
41,Oregon,410271,0,
41,Oregon,410272,0,
41,Oregon,410273,0,
41,Oregon,410274,0,
41,Oregon,410275,0,
41,Oregon,410276,0,
41,Oregon,410277,0,
41,Oregon,410278,0,
41,Oregon,410279,0,
41,Oregon,410280,0,
41,Oregon,410281,0,
41,Oregon,410282,0,
41,Oregon,410283,0,
41,Oregon,410284,0,
41,Oregon,410285,0,
41,Oregon,410286,0,
41,Oregon,410287,0,
41,Oregon,410288,0,
41,Oregon,410289,0,
41,Oregon,410290,0,
41,Oregon,410291,0,
41,Oregon,410292,0,
41,Oregon,410294,0,
41,Oregon,410295,0,
41,Oregon,410296,0,
41,Oregon,410297,0,
41,Oregon,410298,0,
41,Oregon,410299,0,
41,Oregon,410300,0,
41,Oregon,410301,0,
41,Oregon,410302,0,
41,Oregon,410303,0,
41,Oregon,410304,0,
41,Oregon,410305,23,Indication of a Stalled/Disabled Vehicle
41,Oregon,410306,0,
41,Oregon,410307,0,
41,Oregon,410308,0,
41,Oregon,410309,0,
41,Oregon,410310,0,
41,Oregon,410311,0,
41,Oregon,410312,0,
41,Oregon,410313,0,
41,Oregon,410314,0,
