STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,MTM_CRSH,MTM_CRSHNAME
41,Oregon,410001,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410003,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410006,0,1,0,None Noted
41,Oregon,410006,0,2,0,None Noted
41,Oregon,410008,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410008,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410011,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410011,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410014,0,1,0,None Noted
41,Oregon,410014,0,2,0,None Noted
41,Oregon,410024,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410024,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410025,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410025,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410026,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410029,0,1,0,None Noted
41,Oregon,410030,0,1,0,None Noted
41,Oregon,410032,0,1,0,None Noted
41,Oregon,410040,0,1,11,Dash
41,Oregon,410040,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410041,0,1,0,None Noted
41,Oregon,410041,0,2,0,None Noted
41,Oregon,410041,0,3,0,None Noted
41,Oregon,410041,0,4,0,None Noted
41,Oregon,410042,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410044,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410044,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410049,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410051,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410051,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410054,0,1,0,None Noted
41,Oregon,410055,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410060,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410060,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410063,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410065,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410067,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410067,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410079,0,1,99,Unknown
41,Oregon,410080,0,1,11,Dash
41,Oregon,410080,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410082,0,1,0,None Noted
41,Oregon,410101,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410101,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410106,0,1,0,None Noted
41,Oregon,410109,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410125,0,1,0,None Noted
41,Oregon,410126,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410129,0,1,0,None Noted
41,Oregon,410130,0,1,0,None Noted
41,Oregon,410137,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410143,0,1,0,None Noted
41,Oregon,410152,0,1,0,None Noted
41,Oregon,410152,0,2,0,None Noted
41,Oregon,410156,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410156,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410160,0,1,9,Wrong-Way Riding or Walking
41,Oregon,410167,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410168,0,1,0,None Noted
41,Oregon,410187,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410187,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410209,0,1,99,Unknown
41,Oregon,410233,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410241,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410241,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410241,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410243,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410243,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
41,Oregon,410244,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410244,0,1,11,Dash
41,Oregon,410253,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
41,Oregon,410254,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410267,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410267,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410270,0,1,0,None Noted
41,Oregon,410271,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410271,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410273,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410276,0,1,0,None Noted
41,Oregon,410278,0,1,0,None Noted
41,Oregon,410286,0,1,0,None Noted
41,Oregon,410291,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410301,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410301,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410308,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410308,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410313,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410313,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410319,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410319,0,2,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410322,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410325,0,1,0,None Noted
41,Oregon,410325,0,2,0,None Noted
41,Oregon,410326,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410328,0,1,0,None Noted
41,Oregon,410331,0,1,99,Unknown
41,Oregon,410336,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410336,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
