STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMCC,NMCCNAME
41,Oregon,410002,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410002,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410002,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410004,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410004,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410004,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410005,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410005,0,1,6,"Inattentive (Talking, Eating, Etc.)"
41,Oregon,410005,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410008,0,1,0,None Noted
41,Oregon,410027,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410027,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410031,0,1,0,None Noted
41,Oregon,410037,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410037,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410038,0,1,0,None Noted
41,Oregon,410051,0,1,99,Reported as Unknown
41,Oregon,410052,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410052,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
41,Oregon,410058,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410058,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410072,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410072,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410073,0,1,0,None Noted
41,Oregon,410089,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410089,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410095,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410095,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410098,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410098,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410101,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410102,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410104,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410107,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
41,Oregon,410110,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410110,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410112,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410134,0,1,0,None Noted
41,Oregon,410136,0,1,0,None Noted
41,Oregon,410141,0,1,16,Failure to Keep in Proper Lane or Running Off Road
41,Oregon,410158,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410158,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410168,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410180,0,1,0,None Noted
41,Oregon,410185,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410191,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410199,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410217,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410217,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410219,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410219,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410235,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410235,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410236,0,1,0,None Noted
41,Oregon,410248,0,1,0,None Noted
41,Oregon,410255,0,1,0,None Noted
41,Oregon,410257,0,1,0,None Noted
41,Oregon,410260,0,1,0,None Noted
41,Oregon,410265,0,1,0,None Noted
41,Oregon,410266,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410266,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410271,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410271,0,1,11,"Dash - Run, No Visual Obstruction Noted"
41,Oregon,410274,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410279,0,1,0,None Noted
41,Oregon,410283,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
41,Oregon,410288,0,1,0,None Noted
41,Oregon,410290,0,1,0,None Noted
41,Oregon,410324,0,1,0,None Noted
41,Oregon,410337,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410337,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410341,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410341,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410348,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410353,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410353,0,1,6,"Inattentive (Talking, Eating, Etc.)"
41,Oregon,410353,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410355,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410355,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410356,0,1,0,None Noted
41,Oregon,410362,0,1,11,"Dash - Run, No Visual Obstruction Noted"
41,Oregon,410367,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410367,0,1,6,"Inattentive (Talking, Eating, Etc.)"
41,Oregon,410368,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410368,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410370,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410370,0,1,11,"Dash - Run, No Visual Obstruction Noted"
41,Oregon,410385,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410385,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
41,Oregon,410385,0,1,6,"Inattentive (Talking, Eating, Etc.)"
41,Oregon,410393,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410393,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410399,0,1,0,None Noted
41,Oregon,410405,0,1,0,None Noted
41,Oregon,410410,0,1,99,Reported as Unknown
41,Oregon,410417,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410417,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410421,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410421,0,1,11,"Dash - Run, No Visual Obstruction Noted"
41,Oregon,410426,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410426,0,2,2,Failure to Yield Right-Of-Way
41,Oregon,410433,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410437,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410438,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410447,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410447,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410452,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410453,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410454,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410454,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410456,0,1,0,None Noted
41,Oregon,410461,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410461,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410464,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410464,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
41,Oregon,410474,0,1,0,None Noted
41,Oregon,410476,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410481,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410481,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410483,0,1,0,None Noted
41,Oregon,410484,0,1,0,None Noted
41,Oregon,410488,0,1,0,None Noted
41,Oregon,410488,0,2,0,None Noted
41,Oregon,410488,0,3,0,None Noted
41,Oregon,410490,0,1,0,None Noted
41,Oregon,410491,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410492,0,1,0,None Noted
41,Oregon,410492,0,2,0,None Noted
41,Oregon,410494,0,1,0,None Noted
41,Oregon,410497,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410498,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410498,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410503,0,1,0,None Noted
41,Oregon,410504,0,1,0,None Noted
41,Oregon,410507,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
41,Oregon,410510,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410510,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410513,0,1,0,None Noted
41,Oregon,410516,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410516,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410517,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410519,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410519,0,1,11,"Dash - Run, No Visual Obstruction Noted"
41,Oregon,410520,0,1,21,Other (Specify:)
41,Oregon,410523,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410524,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410524,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410526,0,1,0,None Noted
41,Oregon,410527,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410534,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410534,0,1,6,"Inattentive (Talking, Eating, Etc.)"
41,Oregon,410534,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
41,Oregon,410539,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410542,0,1,0,None Noted
41,Oregon,410545,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410546,0,1,0,None Noted
41,Oregon,410546,0,2,0,None Noted
41,Oregon,410548,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410558,0,1,2,Failure to Yield Right-Of-Way
41,Oregon,410558,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
