STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMDISTRACT,NMDISTRACTNAME
41,Oregon,410012,0,1,99,Reported as Unknown if Distracted
41,Oregon,410014,0,1,96,Not Reported
41,Oregon,410016,0,1,96,Not Reported
41,Oregon,410019,0,1,96,Not Reported
41,Oregon,410021,0,1,96,Not Reported
41,Oregon,410029,0,1,96,Not Reported
41,Oregon,410037,0,1,17,Distraction/Inattention
41,Oregon,410042,0,1,96,Not Reported
41,Oregon,410044,0,1,96,Not Reported
41,Oregon,410052,0,1,96,Not Reported
41,Oregon,410063,0,1,96,Not Reported
41,Oregon,410065,0,1,96,Not Reported
41,Oregon,410068,0,1,96,Not Reported
41,Oregon,410071,0,1,96,Not Reported
41,Oregon,410078,0,1,96,Not Reported
41,Oregon,410082,0,1,96,Not Reported
41,Oregon,410092,0,1,96,Not Reported
41,Oregon,410100,0,1,96,Not Reported
41,Oregon,410106,0,1,96,Not Reported
41,Oregon,410132,0,1,96,Not Reported
41,Oregon,410146,0,1,96,Not Reported
41,Oregon,410154,0,1,17,Distraction/Inattention
41,Oregon,410160,0,1,96,Not Reported
41,Oregon,410161,0,1,96,Not Reported
41,Oregon,410163,0,1,96,Not Reported
41,Oregon,410170,0,1,99,Reported as Unknown if Distracted
41,Oregon,410173,0,1,96,Not Reported
41,Oregon,410173,0,2,96,Not Reported
41,Oregon,410194,0,1,96,Not Reported
41,Oregon,410202,0,1,96,Not Reported
41,Oregon,410205,0,1,96,Not Reported
41,Oregon,410208,0,1,96,Not Reported
41,Oregon,410229,0,1,96,Not Reported
41,Oregon,410229,0,2,96,Not Reported
41,Oregon,410233,0,1,99,Reported as Unknown if Distracted
41,Oregon,410234,0,1,96,Not Reported
41,Oregon,410241,0,1,96,Not Reported
41,Oregon,410242,0,1,96,Not Reported
41,Oregon,410243,0,1,96,Not Reported
41,Oregon,410245,0,1,96,Not Reported
41,Oregon,410246,0,1,96,Not Reported
41,Oregon,410247,0,1,96,Not Reported
41,Oregon,410250,0,1,96,Not Reported
41,Oregon,410251,0,1,96,Not Reported
41,Oregon,410253,0,1,96,Not Reported
41,Oregon,410254,0,1,96,Not Reported
41,Oregon,410256,0,1,96,Not Reported
41,Oregon,410258,0,1,96,Not Reported
41,Oregon,410264,0,1,96,Not Reported
41,Oregon,410270,0,1,96,Not Reported
41,Oregon,410281,0,1,93,"Inattention (Inattentive), Details Unknown"
41,Oregon,410284,0,1,96,Not Reported
41,Oregon,410292,0,1,96,Not Reported
41,Oregon,410298,0,1,96,Not Reported
41,Oregon,410299,0,1,96,Not Reported
41,Oregon,410303,0,1,96,Not Reported
41,Oregon,410311,0,1,96,Not Reported
41,Oregon,410326,0,1,96,Not Reported
41,Oregon,410329,0,1,96,Not Reported
41,Oregon,410332,0,1,93,"Inattention (Inattentive), Details Unknown"
41,Oregon,410337,0,1,96,Not Reported
41,Oregon,410339,0,1,96,Not Reported
41,Oregon,410340,0,1,96,Not Reported
41,Oregon,410343,0,1,96,Not Reported
41,Oregon,410345,0,1,96,Not Reported
41,Oregon,410350,0,1,96,Not Reported
41,Oregon,410355,0,1,96,Not Reported
41,Oregon,410356,0,1,96,Not Reported
41,Oregon,410361,0,1,96,Not Reported
41,Oregon,410362,0,1,96,Not Reported
41,Oregon,410365,0,1,96,Not Reported
41,Oregon,410367,0,1,96,Not Reported
41,Oregon,410369,0,1,96,Not Reported
41,Oregon,410374,0,1,96,Not Reported
41,Oregon,410377,0,1,96,Not Reported
41,Oregon,410378,0,1,96,Not Reported
41,Oregon,410381,0,1,96,Not Reported
41,Oregon,410385,0,1,96,Not Reported
41,Oregon,410389,0,1,96,Not Reported
41,Oregon,410399,0,1,96,Not Reported
41,Oregon,410400,0,1,96,Not Reported
41,Oregon,410401,0,1,96,Not Reported
41,Oregon,410405,0,1,96,Not Reported
41,Oregon,410407,0,1,96,Not Reported
41,Oregon,410408,0,1,96,Not Reported
41,Oregon,410415,0,1,96,Not Reported
41,Oregon,410417,0,1,96,Not Reported
41,Oregon,410421,0,1,96,Not Reported
41,Oregon,410425,0,1,96,Not Reported
41,Oregon,410445,0,1,96,Not Reported
41,Oregon,410448,0,1,96,Not Reported
41,Oregon,410462,0,1,96,Not Reported
41,Oregon,410465,0,1,96,Not Reported
41,Oregon,410472,0,1,96,Not Reported
