STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,VE_FORMS,COUNTY,MONTH,MONTHNAME,DAY,DAYNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,SCH_BUS,SCH_BUSNAME,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,MOD_YEAR,MOD_YEARNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,MAKE,MAKENAME,BODY_TYP,BODY_TYPNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,GVWR_TO,GVWR_TONAME,TOW_VEH,TOW_VEHNAME,SPEC_USE,SPEC_USENAME,EMER_USE,EMER_USENAME,ROLLOVER,ROLLOVERNAME,IMPACT1,IMPACT1NAME,FIRE_EXP,FIRE_EXPNAME,MAK_MOD,MAK_MODNAME,AGE,AGENAME,SEX,SEXNAME,PER_TYP,PER_TYPNAME,INJ_SEV,INJ_SEVNAME,SEAT_POS,SEAT_POSNAME,REST_USE,REST_USENAME,REST_MIS,REST_MISNAME,HELM_USE,HELM_USENAME,HELM_MIS,HELM_MISNAME,AIR_BAG,AIR_BAGNAME,EJECTION,EJECTIONNAME,EJ_PATH,EJ_PATHNAME,EXTRICAT,EXTRICATNAME,DRINKING,DRINKINGNAME,ALC_STATUS,ALC_STATUSNAME,ATST_TYP,ATST_TYPNAME,ALC_RES,ALC_RESNAME,DRUGS,DRUGSNAME,DSTATUS,DSTATUSNAME,HOSPITAL,HOSPITALNAME,DOA,DOANAME,DEATH_MO,DEATH_MONAME,DEATH_DA,DEATH_DANAME,DEATH_YR,DEATH_YRNAME,DEATH_TM,DEATH_TMNAME,DEATH_HR,DEATH_HRNAME,DEATH_MN,DEATH_MNNAME,LAG_HRS,LAG_HRSNAME,LAG_MINS,LAG_MINSNAME,STR_VEH,DEVTYPE,DEVTYPENAME,DEVMOTOR,DEVMOTORNAME,LOCATION,LOCATIONNAME,WORK_INJ,WORK_INJNAME,HISPANIC,HISPANICNAME
41,Oregon,410001,1,1,1,51,1,January,1,1,0,0:00am-0:59am,33,33,14,Parked Motor Vehicle,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,0,No,2,Urban,7,Local,1991.0,1991,474.0,Honda,1861.0,Accord,3.0,Coupe,37.0,Honda,2.0,"2-door sedan,hardtop,coupe",0.0,Not Applicable,11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11.0,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0.0,No Trailers,0.0,No Special UseÂ Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,37032.0,"Honda Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",35,35 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",20,None Used/Not Applicable,7,None Used/Not Applicable,20,Not Applicable,7,None Used/Not Applicable,98,Not Reported,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,2,Test Given,1,Blood,0,0.000 % BAC,8,Not Reported,2,Test Given,0,Not Transported for Treatment,7,Died at Scene,1,January,1,1,2023,2023,33,33,0,0:00-0:59,33,33,0,0,0,0,0,,,,,0,Occupant of a Motor Vehicle,0,No,7,Non-Hispanic
41,Oregon,410002,1,1,2,19,1,January,2,2,21,9:00pm-9:59pm,30,30,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Rural,3,Other Principal Arterial,1997.0,1997,472.0,GMC,1859.0,Yukon,7.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),23.0,GMC,15.0,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0.0,Not Applicable,12.0,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12.0,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",6.0,Vehicle Towing Another Motor Vehicle - Non-Fixed Linkage,0.0,No Special UseÂ Noted,0.0,Not Applicable,0.0,No Rollover,6.0,6 Clock Point,0.0,No or Not Reported,23421.0,GMC Fullsize Jimmy/Yukon,34,34 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,2,Test Given,1,Blood,0,0.000 % BAC,8,Not Reported,2,Test Given,0,Not Transported for Treatment,7,Died at Scene,1,January,2,2,2023,2023,2143,2143,21,21:00-21:59,43,43,0,0,13,13,0,,,,,0,Occupant of a Motor Vehicle,0,No,7,Non-Hispanic
41,Oregon,410002,1,2,2,19,1,January,2,2,21,9:00pm-9:59pm,30,30,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Rural,3,Other Principal Arterial,1997.0,1997,472.0,GMC,1859.0,Yukon,7.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),23.0,GMC,15.0,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0.0,Not Applicable,12.0,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12.0,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",6.0,Vehicle Towing Another Motor Vehicle - Non-Fixed Linkage,0.0,No Special UseÂ Noted,0.0,Not Applicable,0.0,No Rollover,6.0,6 Clock Point,0.0,No or Not Reported,23421.0,GMC Fullsize Jimmy/Yukon,35,35 Years,1,Male,2,Passenger of a Motor Vehicle In-Transport,4,Fatal Injury (K),13,"Front Seat, Right Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,0,Not Transported for Treatment,7,Died at Scene,1,January,2,2,2023,2023,2143,2143,21,21:00-21:59,43,43,0,0,13,13,0,,,,,0,Occupant of a Motor Vehicle,0,No,7,Non-Hispanic
41,Oregon,410002,2,1,2,19,1,January,2,2,21,9:00pm-9:59pm,30,30,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Rural,3,Other Principal Arterial,1996.0,1996,495.0,Peterbilt,2040.0,378,66.0,Truck-Tractor,87.0,Peterbilt,66.0,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0.0,Not Applicable,18.0,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18.0,"Class 8: 33,001 lbs. and above (14,969 kg and above)",1.0,One Trailer,0.0,No Special UseÂ Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,87881.0,Peterbilt Medium/Heavy - CBE,30,30 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,2,Suspected Minor Injury (B),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,5,EMS Ground,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),999,Unknown,99,Unknown,0,,,,,0,Occupant of a Motor Vehicle,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable)
41,Oregon,410003,0,1,3,35,1,January,2,2,19,7:00pm-7:59pm,8,8,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Rural,3,Other Principal Arterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22 Years,1,Male,5,Pedestrian,2,Suspected Minor Injury (B),0,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,97,Not a Motor Vehicle Occupant,8,Not Applicable,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,0,Not Transported for Treatment,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),999,Unknown,99,Unknown,1,0.0,Not Applicable,0.0,Not Applicable,20,Shoulder/Roadside,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable)
41,Oregon,410003,0,2,3,35,1,January,2,2,19,7:00pm-7:59pm,8,8,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Rural,3,Other Principal Arterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19 Years,2,Female,5,Pedestrian,1,Possible Injury (C),0,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,97,Not a Motor Vehicle Occupant,8,Not Applicable,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,5,EMS Ground,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),999,Unknown,99,Unknown,1,0.0,Not Applicable,0.0,Not Applicable,20,Shoulder/Roadside,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable)
41,Oregon,410003,0,3,3,35,1,January,2,2,19,7:00pm-7:59pm,8,8,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Rural,3,Other Principal Arterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20 Years,1,Male,5,Pedestrian,3,Suspected Serious Injury (A),0,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,96,Not a Motor Vehicle Occupant,8,Not a Motor Vehicle Occupant,97,Not a Motor Vehicle Occupant,8,Not Applicable,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,5,EMS Ground,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),999,Unknown,99,Unknown,1,0.0,Not Applicable,0.0,Not Applicable,20,Shoulder/Roadside,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable)
41,Oregon,410003,1,1,3,35,1,January,2,2,19,7:00pm-7:59pm,8,8,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Rural,3,Other Principal Arterial,2023.0,2023,495.0,Peterbilt,2788.0,567,11.0,Truck,87.0,Peterbilt,63.0,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",66.0,Truck-Tractor,18.0,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18.0,"Class 8: 33,001 lbs. and above (14,969 kg and above)",1.0,One Trailer,0.0,No Special UseÂ Noted,0.0,Not Applicable,0.0,No Rollover,9.0,9 Clock Point,0.0,No or Not Reported,87881.0,Peterbilt Medium/Heavy - CBE,44,44 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,0,No Apparent Injury (O),11,"Front Seat, Left Side",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,0,Not Extricated or Not Applicable,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,0,Not Transported for Treatment,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),999,Unknown,99,Unknown,0,,,,,0,Occupant of a Motor Vehicle,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable)
41,Oregon,410003,2,1,3,35,1,January,2,2,19,7:00pm-7:59pm,8,8,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Rural,3,Other Principal Arterial,2015.0,2015,467.0,Chevrolet,1851.0,Suburban,7.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),20.0,Chevrolet,15.0,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0.0,Not Applicable,12.0,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12.0,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0.0,No Trailers,0.0,No Special UseÂ Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,20422.0,Chevrolet Suburban (from 2004 on; see 431 for 1950-2003),36,36 Years,1,Male,1,Driver of a Motor Vehicle In-Transport,4,Fatal Injury (K),11,"Front Seat, Left Side",99,Reported as Unknown,7,None Used/Not Applicable,20,Not Applicable,7,None Used/Not Applicable,9,Deployment- Unknown Location,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,2,Test Given,1,Blood,0,0.000 % BAC,8,Not Reported,2,Test Given,0,Not Transported for Treatment,7,Died at Scene,1,January,2,2,2023,2023,1908,1908,19,19:00-19:59,8,8,0,0,0,0,0,,,,,0,Occupant of a Motor Vehicle,0,No,1,Mexican
41,Oregon,410003,2,2,3,35,1,January,2,2,19,7:00pm-7:59pm,8,8,12,Motor Vehicle In-Transport,6,Angle,0,No,1,Rural,3,Other Principal Arterial,2015.0,2015,467.0,Chevrolet,1851.0,Suburban,7.0,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),20.0,Chevrolet,15.0,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",0.0,Not Applicable,12.0,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12.0,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0.0,No Trailers,0.0,No Special UseÂ Noted,0.0,Not Applicable,0.0,No Rollover,12.0,12 Clock Point,0.0,No or Not Reported,20422.0,Chevrolet Suburban (from 2004 on; see 431 for 1950-2003),10,10 Years,1,Male,2,Passenger of a Motor Vehicle In-Transport,3,Suspected Serious Injury (A),22,"Second Seat, Middle",3,Shoulder and Lap Belt Used,0,No Indication of Misuse,20,Not Applicable,7,None Used/Not Applicable,20,Not Deployed,0,Not Ejected,0,Ejection Path Not Applicable,1,Extricated,8,Not Reported,0,Test Not Given,0,Test Not Given,996,Test Not Given,8,Not Reported,0,Test Not Given,5,EMS Ground,0,Not Applicable,88,Not Applicable (Non-Fatal),88,Not Applicable (Non-Fatal),8888,Not Applicable (Non-fatal),8888,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),88,Not Applicable (Non-fatal),999,Unknown,99,Unknown,0,,,,,0,Occupant of a Motor Vehicle,8,Not Applicable (not a fatality),0,Not A Fatality (not Applicable)
