STATE,STATENAME,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,NUMOCCSNAME,DAY,DAYNAME,MONTH,MONTHNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,UNITTYPE,UNITTYPENAME,HIT_RUN,HIT_RUNNAME,REG_STAT,REG_STATNAME,OWNER,OWNERNAME,MAKE,MAKENAME,MODEL,MAK_MOD,MAK_MODNAME,BODY_TYP,BODY_TYPNAME,MOD_YEAR,MOD_YEARNAME,VIN,VINNAME,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,TOW_VEHNAME,J_KNIFE,J_KNIFENAME,MCARR_I1,MCARR_I1NAME,MCARR_I2,MCARR_I2NAME,MCARR_ID,MCARR_IDNAME,V_CONFIG,V_CONFIGNAME,CARGO_BT,CARGO_BTNAME,HAZ_INV,HAZ_INVNAME,HAZ_PLAC,HAZ_PLACNAME,HAZ_ID,HAZ_IDNAME,HAZ_CNO,HAZ_CNONAME,HAZ_REL,HAZ_RELNAME,BUS_USE,BUS_USENAME,SPEC_USE,SPEC_USENAME,EMER_USE,EMER_USENAME,TRAV_SP,TRAV_SPNAME,UNDERIDE,UNDERIDENAME,ROLLOVER,ROLLOVERNAME,ROLINLOC,ROLINLOCNAME,IMPACT1,IMPACT1NAME,DEFORMED,DEFORMEDNAME,TOWED,TOWEDNAME,M_HARM,M_HARMNAME,FIRE_EXP,FIRE_EXPNAME,DR_PRES,DR_PRESNAME,L_STATE,L_STATENAME,DR_ZIP,DR_ZIPNAME,L_STATUS,L_STATUSNAME,L_TYPE,L_TYPENAME,CDL_STAT,CDL_STATNAME,L_ENDORS,L_ENDORSNAME,L_COMPL,L_COMPLNAME,L_RESTRI,L_RESTRINAME,DR_HGT,DR_HGTNAME,DR_WGT,DR_WGTNAME,PREV_ACC,PREV_ACCNAME,PREV_SUS1,PREV_SUS1NAME,PREV_SUS2,PREV_SUS2NAME,PREV_SUS3,PREV_SUS3NAME,PREV_DWI,PREV_DWINAME,PREV_SPD,PREV_SPDNAME,PREV_OTH,PREV_OTHNAME,FIRST_MO,FIRST_MONAME,FIRST_YR,FIRST_YRNAME,LAST_MO,LAST_MONAME,LAST_YR,LAST_YRNAME,SPEEDREL,SPEEDRELNAME,VTRAFWAY,VTRAFWAYNAME,VNUM_LAN,VNUM_LANNAME,VSPD_LIM,VSPD_LIMNAME,VALIGN,VALIGNNAME,VPROFILE,VPROFILENAME,VPAVETYP,VPAVETYPNAME,VSURCOND,VSURCONDNAME,VTRAFCON,VTRAFCONNAME,VTCONT_F,VTCONT_FNAME,P_CRASH1,P_CRASH1NAME,P_CRASH2,P_CRASH2NAME,P_CRASH3,P_CRASH3NAME,PCRASH4,PCRASH4NAME,PCRASH5,PCRASH5NAME,ACC_TYPE,ACC_TYPENAME,TRLR1VIN,TRLR1VINNAME,TRLR2VIN,TRLR2VINNAME,TRLR3VIN,TRLR3VINNAME,DEATHS,DR_DRINK,DR_DRINKNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,GVWR_TO,GVWR_TONAME,TRLR1GVWR,TRLR1GVWRNAME,TRLR2GVWR,TRLR2GVWRNAME,TRLR3GVWR,TRLR3GVWRNAME
41,Oregon,410001,1,1,2,02,3,3,1,January,23,11:00pm-11:59pm,47,47,24,Guardrail Face,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),7,Dodge,472,7472,Dodge Dakota,34,Light Pickup,2002,2002,1B7GL32X52S5,1B7GL32X52S5,1,B,7,G,L,3,2,X,5,2,S,5,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,999,Reported as Unknown,0,No Underride or Override Noted,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,42,Tree (Standing Only),0,No or Not Reported,1,Yes,41,Oregon,97305,97305,0,Not licensed,0,Not Licensed,0,No (CDL),0,No Endorsements required for this vehicle,0,Not licensed,0,No Restrictions or Not Applicable,62,62,160,160 lbs.,0,,0,,0,,3,3,0,,0,,0,,11,November,2016,2016,11,November,2018,2018,0,No,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,9,Unknown cause of control loss,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,1,A1-Single Driver-Right Roadside Departure-Drive Off Road,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,0,No,476,Dodge,1941,Dakota,60,Pickup,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410002,1,2,1,01,9,9,1,January,9,9:00am-9:59am,55,55,12,Motor Vehicle In-Transport,6,Angle,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,51,Volvo,39,51039,Volvo 740,4,"4-door sedan, hardtop",1990,1990,YV1FA8849L24,YV1FA8849L24,Y,V,1,F,A,8,8,4,9,L,2,4,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,998,Not Reported,0,No Underride or Override Noted,0,No Rollover,0,No Rollover,3,3 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97632,97632,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,67,67,190,190 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,4,"Yes, Too Fast for Conditions",1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",4,Ice/Frost,97,Not Reported,8,Not Reported,1,Going Straight,6,Traveling Too Fast for Conditions or Road Configuration,99,Unknown/Not Reported,5,"Skidding Laterally, Rotation Direction Unknown",2,"Stayed on roadway, but left original travel lane",64,"I64-Same Trafficway, Opposite Direction-Angle, Sideswipe-Lateral Move (Left/Right)",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,0,No,485,Volvo,14119,740 Series,13,Sedan/Saloon,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410002,2,2,1,01,9,9,1,January,9,9:00am-9:59am,55,55,12,Motor Vehicle In-Transport,6,Angle,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,20,Chevrolet,481,20481,"Chevrolet C, K, R, V-series pickup/Silverado",34,Light Pickup,2001,2001,1GCEK19T91E2,1GCEK19T91E2,1,G,C,E,K,1,9,T,9,1,E,2,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,40,040 MPH,0,No Underride or Override Noted,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,6,California,97601,97601,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,999,Unknown,999,Unknown,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",4,Ice/Frost,97,Not Reported,8,Not Reported,1,Going Straight,62,From opposite direction  over left lane line,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,65,"I65-Same Trafficway, Opposite Direction-Angle, Sideswipe-Lateral Move (Going Straight)",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,467,Chevrolet,1850,Silverado,60,Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410003,1,2,2,02,8,8,1,January,6,6:00am-6:59am,49,49,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,12,Ford,37,12037,Ford Focus,4,"4-door sedan, hardtop",2009,2009,1FAHP35N89W1,1FAHP35N89W1,1,F,A,H,P,3,5,N,8,9,W,1,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,998,Not Reported,0,No Underride or Override Noted,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97141,97141,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,1,Restrictions Complied With,64,64,230,230 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,9,Reported as Unknown,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,0,No Controls,0,No Controls,1,Going Straight,50,Other vehicle stopped,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,20,"D20-Same Trafficway, Same Direction-Rear End-Stopped",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,0,No,460,Ford,1779,Focus,13,Sedan/Saloon,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410003,2,2,1,01,8,8,1,January,6,6:00am-6:59am,49,49,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,0,Not Applicable,0,"Not Applicable, Vehicle Not Registered",98,Other Make,998,98998,Other Make Other (vehicle),92,Farm equipment other than trucks,9999,Unknown,000000000000,No VIN Required,0,0,0,0,0,0,0,0,0,0,0,0,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,0,Stopped Motor Vehicle In- Transport,0,No Underride or Override Noted,0,No Rollover,0,No Rollover,6,6 Clock Point,0,No Damage,5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,6,California,97141,97141,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,70,70,220,220 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,0,No Controls,0,No Controls,5,Stopped in Roadway,53,Traveling in same direction with higher speed,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,21,"D21-Same Trafficway, Same Direction-Rear End-Stopped, Straight",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,5431,John Deere,99997,Other,126,Off-road Vehicle - Farm Equipment,0,Not Applicable,98,Not Reported,98,Not Reported,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410004,1,1,1,01,20,20,1,January,6,6:00am-6:59am,1,1,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,3,Vehicle Registered as Commercial/Business/Company/Government Vehicle,98,Other Make,804,98804,Other Make Western Star,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",1995,1995,2WLPDCJH8SK9,2WLPDCJH8SK9,2,W,L,P,D,C,J,H,8,S,K,9,1,One Trailing Unit,1,No,57,US DOT,768848,768848,57768848,57768848,6,Truck Tractor/Semi-Trailer,1,Van/Enclosed Box,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,998,Not Reported,0,No Underride or Override Noted,2,"Rollover, Untripped",5,On Roadside,0,Non-Collision,8,Not Reported,7,"Towed, Unknown Reason",1,Rollover/Overturn,1,Yes,1,Yes,6,California,95965,95965,6,Valid,1,Full Driver License,6,Valid,0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,68,68,200,200 lbs.,0,,0,,0,,0,,0,,0,,1,1,12,December,2018,2018,12,December,2018,2018,9,Reported as Unknown,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,97,Not Reported,8,Not Reported,1,Going Straight,13,Off the edge of the road on the right side,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,1,A1-Single Driver-Right Roadside Departure-Drive Off Road,888888888888,Not Reported,777777777777,No Trailing Units,777777777777,No Trailing Units,1,0,No,4512,Western Star,9571,4900,66,Truck-Tractor,0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",98,Not Reported,77,No Trailing Units,77,No Trailing Units
41,Oregon,410005,1,2,1,01,1,1,2,February,7,7:00am-7:59am,59,59,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,3,Vehicle Registered as Commercial/Business/Company/Government Vehicle,20,Chevrolet,481,20481,"Chevrolet C, K, R, V-series pickup/Silverado",34,Light Pickup,2004,2004,1GCEK19V94Z1,1GCEK19V94Z1,1,G,C,E,K,1,9,V,9,4,Z,1,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,65,065 MPH,0,No Underride or Override Noted,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97317,97317,1,Suspended,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,66,66,215,215 lbs.,0,,0,,0,,3,3,0,,0,,6,6,7,July,2018,2018,10,October,2019,2019,9,Reported as Unknown,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,65,65 MPH,3,Curve Left,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,14,Negotiating a Curve,51,Traveling in same direction with lower steady speed,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,24,"D24-Same Trafficway, Same Direction-Rear End-Slower",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,467,Chevrolet,1850,Silverado,60,Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410005,2,2,1,01,1,1,2,February,7,7:00am-7:59am,59,59,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,20,Chevrolet,471,20471,Chevrolet S-10/T-10 Pickup,34,Light Pickup,1997,1997,1GCCS1442VK1,1GCCS1442VK1,1,G,C,C,S,1,4,4,2,V,K,1,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,999,Reported as Unknown,0,No Underride or Override Noted,1,"Rollover, Tripped by Object/Vehicle",2,On Shoulder,6,6 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97355,97355,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,71,71,190,190 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,9,Reported as Unknown,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,65,65 MPH,3,Curve Left,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,14,Negotiating a Curve,53,Traveling in same direction with higher speed,99,Unknown/Not Reported,1,Tracking,5,Remained off roadway,25,"D25-Same Trafficway, Same Direction-Rear End-Slower, Going Straight",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,0,No,467,Chevrolet,11483,S-10 Pickup,60,Pickup,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410006,1,1,1,01,4,4,2,February,21,9:00pm-9:59pm,20,20,1,Rollover/Overturn,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,53,Washington,1,Driver (in this crash) was  Registered Owner,12,Ford,35,12035,Ford Contour,4,"4-door sedan, hardtop",1999,1999,1FAFP66L7XK1,1FAFP66L7XK1,1,F,A,F,P,6,6,L,7,X,K,1,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,999,Reported as Unknown,0,No Underride or Override Noted,1,"Rollover, Tripped by Object/Vehicle",5,On Roadside,0,Non-Collision,8,Not Reported,7,"Towed, Unknown Reason",1,Rollover/Overturn,0,No or Not Reported,1,Yes,53,Washington,99167,99167,1,Suspended,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,69,69,135,135 lbs.,0,,0,,0,,2,2,2,2,0,,0,,2,February,2015,2015,4,April,2015,2015,9,Reported as Unknown,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,70,70 MPH,1,Straight,2,"Grade, Unknown Slope",1,Concrete,1,Dry,97,Not Reported,8,Not Reported,1,Going Straight,13,Off the edge of the road on the right side,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,1,A1-Single Driver-Right Roadside Departure-Drive Off Road,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,1,Yes,460,Ford,6731,Contour,13,Sedan/Saloon,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410007,1,2,1,01,8,8,2,February,1,1:00am-1:59am,6,6,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,51,Volvo,47,51047,Volvo 60 Series,4,"4-door sedan, hardtop",2003,2003,YV1RH59H2322,YV1RH59H2322,Y,V,1,R,H,5,9,H,2,3,2,2,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use,0,Not Applicable,100,100 MPH,0,No Underride or Override Noted,1,"Rollover, Tripped by Object/Vehicle",3,On Median/Separator,12,12 Clock Point,8,Not Reported,7,"Towed, Unknown Reason",12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97233,97233,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,66,66,150,150 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,4,"Yes, Too Fast for Conditions",3,"Two-Way,  Divided, Positive  Median Barrier",4,Four lanes,55,55 MPH,1,Straight,2,"Grade, Unknown Slope",1,Concrete,2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,51,Traveling in same direction with lower steady speed,99,Unknown/Not Reported,1,Tracking,9,Unknown,24,"D24-Same Trafficway, Same Direction-Rear End-Slower",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,1,Yes,485,Volvo,1959,S60,13,Sedan/Saloon,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
