STATE,STATENAME,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,NUMOCCSNAME,DAY,DAYNAME,MONTH,MONTHNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,UNITTYPE,UNITTYPENAME,HIT_RUN,HIT_RUNNAME,REG_STAT,REG_STATNAME,OWNER,OWNERNAME,MAKE,MAKENAME,MODEL,MAK_MOD,MAK_MODNAME,BODY_TYP,BODY_TYPNAME,MOD_YEAR,MOD_YEARNAME,VIN,VINNAME,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,TOW_VEHNAME,J_KNIFE,J_KNIFENAME,MCARR_I1,MCARR_I1NAME,MCARR_I2,MCARR_I2NAME,MCARR_ID,MCARR_IDNAME,V_CONFIG,V_CONFIGNAME,CARGO_BT,CARGO_BTNAME,HAZ_INV,HAZ_INVNAME,HAZ_PLAC,HAZ_PLACNAME,HAZ_ID,HAZ_IDNAME,HAZ_CNO,HAZ_CNONAME,HAZ_REL,HAZ_RELNAME,BUS_USE,BUS_USENAME,SPEC_USE,SPEC_USENAME,EMER_USE,EMER_USENAME,TRAV_SP,TRAV_SPNAME,UNDEROVERRIDE,UNDEROVERRIDENAME,ROLLOVER,ROLLOVERNAME,ROLINLOC,ROLINLOCNAME,IMPACT1,IMPACT1NAME,DEFORMED,DEFORMEDNAME,TOWED,TOWEDNAME,M_HARM,M_HARMNAME,FIRE_EXP,FIRE_EXPNAME,DR_PRES,DR_PRESNAME,L_STATE,L_STATENAME,DR_ZIP,DR_ZIPNAME,L_STATUS,L_STATUSNAME,L_TYPE,L_TYPENAME,CDL_STAT,CDL_STATNAME,L_ENDORS,L_ENDORSNAME,L_COMPL,L_COMPLNAME,L_RESTRI,L_RESTRINAME,DR_HGT,DR_HGTNAME,DR_WGT,DR_WGTNAME,PREV_ACC,PREV_ACCNAME,PREV_SUS1,PREV_SUS1NAME,PREV_SUS2,PREV_SUS2NAME,PREV_SUS3,PREV_SUS3NAME,PREV_DWI,PREV_DWINAME,PREV_SPD,PREV_SPDNAME,PREV_OTH,PREV_OTHNAME,FIRST_MO,FIRST_MONAME,FIRST_YR,FIRST_YRNAME,LAST_MO,LAST_MONAME,LAST_YR,LAST_YRNAME,SPEEDREL,SPEEDRELNAME,VTRAFWAY,VTRAFWAYNAME,VNUM_LAN,VNUM_LANNAME,VSPD_LIM,VSPD_LIMNAME,VALIGN,VALIGNNAME,VPROFILE,VPROFILENAME,VPAVETYP,VPAVETYPNAME,VSURCOND,VSURCONDNAME,VTRAFCON,VTRAFCONNAME,VTCONT_F,VTCONT_FNAME,P_CRASH1,P_CRASH1NAME,P_CRASH2,P_CRASH2NAME,P_CRASH3,P_CRASH3NAME,PCRASH4,PCRASH4NAME,PCRASH5,PCRASH5NAME,ACC_TYPE,ACC_TYPENAME,TRLR1VIN,TRLR1VINNAME,TRLR2VIN,TRLR2VINNAME,TRLR3VIN,TRLR3VINNAME,DEATHS,DR_DRINK,DR_DRINKNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,GVWR_TO,GVWR_TONAME,TRLR1GVWR,TRLR1GVWRNAME,TRLR2GVWR,TRLR2GVWRNAME,TRLR3GVWR,TRLR3GVWRNAME
41,Oregon,410001,1,1,3,03,1,1,1,January,7,7:00am-7:59am,16,16,30,Utility Pole/Light Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),12,Ford,3,12003,Ford Mustang/Mustang II,2,"2-door sedan,hardtop,coupe",2005,2005,1ZVFT80N7551,1ZVFT80N7551,1,Z,V,F,T,8,0,N,7,5,5,1,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,998,Not Reported,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,30,Utility Pole/Light Support,0,No or Not Reported,1,Yes,41,Oregon,97218,97218,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,65,65,124,124 lbs.,0,,0,,0,,1,1,0,,0,,0,,9,September,2019,2019,9,September,2019,2019,4,"Yes, Too Fast for Conditions",1,"Two-Way, Not Divided",2,Two lanes,98,Not Reported,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,2,Traffic control signal (on colors) with Pedestrian Signal,3,Device Functioning Properly,1,Going Straight,13,Off the edge of the road on the right side,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,1,A1-Single Driver-Right Roadside Departure-Drive Off Road,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,1,Yes,460,Ford,1781,Mustang,3,Coupe,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410002,1,1,1,01,1,1,1,January,19,7:00pm-7:59pm,21,21,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,49,Toyota,40,49040,Toyota Camry,4,"4-door sedan, hardtop",2015,2015,4T1BF1FK5FU0,4T1BF1FK5FU0,4,T,1,B,F,1,F,K,5,F,U,0,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,35,035 MPH,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,8,Not Reported,7,"Towed, Unknown Reason",8,Pedestrian,0,No or Not Reported,1,Yes,41,Oregon,97424,97424,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,76,76,350,350 lbs.,1,1,0,,0,,0,,0,,0,,1,1,10,October,2016,2016,10,October,2016,2016,0,No,5,"Two-Way, Not Divided With a Continuous Left-Turn Lane",5,Five lanes,35,35 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,0,No Controls,0,No Controls,1,Going Straight,80,Pedestrian in road,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,448,Toyota,2469,Camry,13,Sedan/Saloon,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410003,1,1,1,01,5,5,1,January,99,Unknown Hours,99,Unknown Minutes,59,Traffic Sign Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,91,Not Reported,9,Unknown,97,Not Reported,997,97997,Not Reported Not Reported,98,Not Reported,9998,Not Reported,888888888888,Not Reported,8,8,8,8,8,8,8,8,8,8,8,8,0,No Trailing Units,0,Not an Articulated Vehicle,99,Unknown,999999999,Unknown,99999999999,Unknown,99,Unknown,99,Unknown,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,998,Not Reported,7,Not Applicable,0,No Rollover,0,No Rollover,98,Not Reported,6,Disabling Damage,2,Towed Due to Disabling Damage,3,Immersion or Partial Immersion,0,No or Not Reported,1,Yes,41,Oregon,97457,97457,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,59,59,120,120 lbs.,0,,0,,0,,1,1,0,,4,4,0,,5,May,2016,2016,10,October,2019,2019,0,No,1,"Two-Way, Not Divided",2,Two lanes,98,Not Reported,4,Curve - Unknown Direction,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",98,Not Reported,97,Not Reported,8,Not Reported,14,Negotiating a Curve,19,Unknown travel direction,99,Unknown/Not Reported,9,Precrash stability unknown,4,Departed roadway,99,M99-Unknown,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,1,Yes,99998,Not Reported,99998,Not Reported,998,Not Reported,0,Not Applicable,98,Not Reported,98,Not Reported,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410004,1,1,1,01,6,6,1,January,4,4:00am-4:59am,13,13,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,37,Honda,31,37031,"Honda Civic/CRX, del Sol",5,5-door/4-door hatchback,2018,2018,SHHFK7H40JU4,SHHFK7H40JU4,S,H,H,F,K,7,H,4,0,J,U,4,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,60,060 MPH,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,8,Not Reported,7,"Towed, Unknown Reason",8,Pedestrian,0,No or Not Reported,1,Yes,41,Oregon,97306,97306,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,68,68,191,191 lbs.,0,,0,,0,,0,,0,,1,1,0,,7,July,2019,2019,7,July,2019,2019,0,No,6,Entrance/Exit Ramp,3,Three lanes,60,60 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,80,Pedestrian in road,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,474,Honda,1863,Civic,5,Hatchback/Liftback/Notchback,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410005,1,1,1,01,7,7,1,January,17,5:00pm-5:59pm,27,27,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,7,Dodge,25,7025,Dodge Caliber,5,5-door/4-door hatchback,2009,2009,1B3HB48A69D1,1B3HB48A69D1,1,B,3,H,B,4,8,A,6,9,D,1,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,40,040 MPH,7,Not Applicable,0,No Rollover,0,No Rollover,12,12 Clock Point,8,Not Reported,5,Not Towed,8,Pedestrian,0,No or Not Reported,1,Yes,41,Oregon,97415,97415,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,67,67,140,140 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",5,Five lanes,45,45 MPH,1,Straight,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,80,Pedestrian in road,99,Unknown/Not Reported,1,Tracking,3,"Stayed on roadway, not known if left original travel lane",13,C13-Single Driver-Forward Impact-Pedestrian/ Animal,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,476,Dodge,1896,Caliber,5,Hatchback/Liftback/Notchback,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410006,1,2,1,01,8,8,1,January,10,10:00am-10:59am,35,35,12,Motor Vehicle In-Transport,6,Angle,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,23,GMC,423,23423,GMC Acadia (2013 on. For 2007-2012 see model 008.),15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",2017,2017,1GKKVSKD7HJ2,1GKKVSKD7HJ2,1,G,K,K,V,S,K,D,7,H,J,2,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,998,Not Reported,0,No Underride or Override,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97862,97862,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,66,66,275,275 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,45,45 MPH,1,Straight,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",2,Wet,20,Stop Sign,3,Device Functioning Properly,1,Going Straight,17,Crossing Over (Passing Through) Junction,99,Unknown/Not Reported,1,Tracking,9,Unknown,88,L88-Intersecting Paths-Straight Paths-Striking from the Left,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,0,No,472,GMC,1855,Acadia,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410006,2,2,2,02,8,8,1,January,10,10:00am-10:59am,35,35,12,Motor Vehicle In-Transport,6,Angle,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),12,Ford,481,12481,Ford F-Series pickup,34,Light Pickup,1996,1996,1FTHX26F6TEA,1FTHX26F6TEA,1,F,T,H,X,2,6,F,6,T,E,A,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,40,040 MPH,0,No Underride or Override,0,No Rollover,0,No Rollover,62,Left-Front Side,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97862,97862,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,74,74,145,145 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,45,45 MPH,1,Straight,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,55,In crossover,99,Unknown/Not Reported,1,Tracking,9,Unknown,89,L89-Intersecting Paths-Straight Paths-Struck on the left,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,460,Ford,1805,F-250,60,Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410007,1,2,1,01,9,9,1,January,8,8:00am-8:59am,17,17,12,Motor Vehicle In-Transport,6,Angle,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was  Registered Owner,49,Toyota,472,49472,Toyota Tacoma,34,Light Pickup,2006,2006,5TETX22N86Z2,5TETX22N86Z2,5,T,E,T,X,2,2,N,8,6,Z,2,0,No Trailing Units,0,Not an Articulated Vehicle,0,Not Applicable,000000000,Not Applicable,00000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,998,Not Reported,0,No Underride or Override,0,No Rollover,0,No Rollover,3,3 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97524,97524,6,Valid,1,Full Driver License,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,64,64,210,210 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,4,"Yes, Too Fast for Conditions",1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",4,Ice/Frost,97,Not Reported,8,Not Reported,1,Going Straight,6,Traveling Too Fast for Conditions or Road Configuration,99,Unknown/Not Reported,5,"Skidding Laterally, Rotation Direction Unknown",2,"Stayed on roadway, but left original travel lane",64,"I64-Same Trafficway, Opposite Direction-Angle, Sideswipe-Lateral Move (Left/Right)",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,1,0,No,448,Toyota,2223,Tacoma,60,Pickup,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410007,2,2,1,01,9,9,1,January,8,8:00am-8:59am,17,17,12,Motor Vehicle In-Transport,6,Angle,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,3,Vehicle Registered as Commercial/Business/Company/Government Vehicle,82,Freightliner,881,82881,Freightliner Medium/Heavy - CBE,60,"Step van (GVWR greater than 10,000 lbs.)",1999,1999,4UZA4FF4XXCF,4UZA4FF4XXCF,4,U,Z,A,4,F,F,4,X,X,C,F,0,No Trailing Units,0,Not an Articulated Vehicle,57,US DOT,9933418,9933418,579933418,579933418,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",1,Van/Enclosed Box,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,55,055 MPH,0,No Underride or Override,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,2,Towed Due to Disabling Damage,12,Motor Vehicle In-Transport,0,No or Not Reported,1,Yes,41,Oregon,97381,97381,6,Valid,1,Full Driver License,0,No (CDL),2,"Endorsement(s) Required, Not Complied with",2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,76,76,260,260 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,1,Straight,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",4,Ice/Frost,97,Not Reported,8,Not Reported,1,Going Straight,62,From opposite direction  over left lane line,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,65,"I65-Same Trafficway, Opposite Direction-Angle, Sideswipe-Lateral Move (Going Straight)",777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,450,Freightliner,1978,MT 45 Chassis,111,Step Van / Walk-in Van,0,Not Applicable,14,"Class 4: 14,001 - 16,000 lbs. (6,350 - 7,258 kg)",14,"Class 4: 14,001 - 16,000 lbs. (6,350 - 7,258 kg)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
41,Oregon,410008,1,1,1,01,13,13,1,January,10,10:00am-10:59am,40,40,8,Pedestrian,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,3,Vehicle Registered as Commercial/Business/Company/Government Vehicle,84,International Harvester/Navistar,881,84881,International Harvester/Navistar Medium/Heavy - CBE,63,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",2007,2007,1HTWXAHT37J4,1HTWXAHT37J4,1,H,T,W,X,A,H,T,3,7,J,4,0,No Trailing Units,0,Not an Articulated Vehicle,57,US DOT,0750046,0750046,570750046,570750046,1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",1,Van/Enclosed Box,1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special UseÂ Noted,0,Not Applicable,5,005 MPH,7,Not Applicable,0,No Rollover,0,No Rollover,98,Not Reported,8,Not Reported,5,Not Towed,8,Pedestrian,0,No or Not Reported,1,Yes,41,Oregon,97055,97055,6,Valid,1,Full Driver License,6,Valid,1,"Endorsement(s) Required, Complied with",3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,71,71,190,190 lbs.,1,1,0,,0,,0,,0,,0,,0,,10,October,2017,2017,10,October,2017,2017,0,No,1,"Two-Way, Not Divided",4,Four lanes,55,55 MPH,1,Straight,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,13,Backing Up (other than for Parking Position),20,Backing,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,92,M92-Backing-Backing Veh.,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,0,0,No,526,International,2695,SF547,11,Truck,0,Not Applicable,18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",18,"Class 8: 33,001 lbs. and above (14,969 kg and above)",77,No Trailing Units,77,No Trailing Units,77,No Trailing Units
