STATE,STATENAME,ST_CASE,VEH_NO,VE_FORMS,MONTH,MONTHNAME,DAY,DAYNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,NUMOCCS,NUMOCCSNAME,UNITTYPE,UNITTYPENAME,HIT_RUN,HIT_RUNNAME,REG_STAT,REG_STATNAME,OWNER,OWNERNAME,VIN,VINNAME,MOD_YEAR,MOD_YEARNAME,VPICMAKE,VPICMAKENAME,VPICMODEL,VPICMODELNAME,VPICBODYCLASS,VPICBODYCLASSNAME,MAKE,MAKENAME,MODEL,BODY_TYP,BODY_TYPNAME,ICFINALBODY,ICFINALBODYNAME,GVWR_FROM,GVWR_FROMNAME,GVWR_TO,GVWR_TONAME,TOW_VEH,TOW_VEHNAME,TRLR1VIN,TRLR1VINNAME,TRLR2VIN,TRLR2VINNAME,TRLR3VIN,TRLR3VINNAME,TRLR1GVWR,TRLR1GVWRNAME,TRLR2GVWR,TRLR2GVWRNAME,TRLR3GVWR,TRLR3GVWRNAME,J_KNIFE,J_KNIFENAME,MCARR_ID,MCARR_IDNAME,MCARR_I1,MCARR_I1NAME,MCARR_I2,MCARR_I2NAME,V_CONFIG,V_CONFIGNAME,CARGO_BT,CARGO_BTNAME,HAZ_INV,HAZ_INVNAME,HAZ_PLAC,HAZ_PLACNAME,HAZ_ID,HAZ_IDNAME,HAZ_CNO,HAZ_CNONAME,HAZ_REL,HAZ_RELNAME,BUS_USE,BUS_USENAME,SPEC_USE,SPEC_USENAME,EMER_USE,EMER_USENAME,TRAV_SP,TRAV_SPNAME,UNDEROVERRIDE,UNDEROVERRIDENAME,ROLLOVER,ROLLOVERNAME,ROLINLOC,ROLINLOCNAME,IMPACT1,IMPACT1NAME,DEFORMED,DEFORMEDNAME,TOWED,TOWEDNAME,M_HARM,M_HARMNAME,FIRE_EXP,FIRE_EXPNAME,MAK_MOD,MAK_MODNAME,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,DEATHS,DR_DRINK,DR_DRINKNAME,DR_PRES,DR_PRESNAME,L_STATE,L_STATENAME,DR_ZIP,DR_ZIPNAME,L_TYPE,L_TYPENAME,L_STATUS,L_STATUSNAME,CDL_STAT,CDL_STATNAME,L_ENDORS,L_ENDORSNAME,L_COMPL,L_COMPLNAME,L_RESTRI,L_RESTRINAME,DR_HGT,DR_HGTNAME,DR_WGT,DR_WGTNAME,PREV_ACC,PREV_ACCNAME,PREV_SUS1,PREV_SUS1NAME,PREV_SUS2,PREV_SUS2NAME,PREV_SUS3,PREV_SUS3NAME,PREV_DWI,PREV_DWINAME,PREV_SPD,PREV_SPDNAME,PREV_OTH,PREV_OTHNAME,FIRST_MO,FIRST_MONAME,FIRST_YR,FIRST_YRNAME,LAST_MO,LAST_MONAME,LAST_YR,LAST_YRNAME,SPEEDREL,SPEEDRELNAME,VTRAFWAY,VTRAFWAYNAME,VNUM_LAN,VNUM_LANNAME,VSPD_LIM,VSPD_LIMNAME,VALIGN,VALIGNNAME,VPROFILE,VPROFILENAME,VPAVETYP,VPAVETYPNAME,VSURCOND,VSURCONDNAME,VTRAFCON,VTRAFCONNAME,VTCONT_F,VTCONT_FNAME,P_CRASH1,P_CRASH1NAME,P_CRASH2,P_CRASH2NAME,P_CRASH3,P_CRASH3NAME,PCRASH4,PCRASH4NAME,PCRASH5,PCRASH5NAME,ACC_TYPE,ACC_TYPENAME
41,Oregon,410001,1,2,1,January,1,1,9,9:00am-9:59am,38,38,12,Motor Vehicle In-Transport,2,Front-to-Front,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was Registered Owner,2T1BR32E95C3,2T1BR32E95C3,2005,2005,448,Toyota,2208,Corolla,13,Sedan/Saloon,49,Toyota,32,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,999,Reported as Unknown,0,No Underride or Override,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,6,Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,49032,Toyota Corolla,2,T,1,B,R,3,2,E,9,5,C,3,1,1,Yes,1,Yes,41,Oregon,97465,97465,2,Intermediate Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,71,71,215,215 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,4,Curve - Unknown Direction,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,14,Negotiating a Curve,10,Over the lane line on left side of travel lane,99,Unknown/Not Reported,1,Tracking,2,"Stayed on roadway, but left original travel lane",50,"G50-Same Trafficway, Opposite Direction-Head-On-Lateral Move (Left/Right)"
41,Oregon,410001,2,2,1,January,1,1,9,9:00am-9:59am,38,38,12,Motor Vehicle In-Transport,2,Front-to-Front,2,02,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,53,Washington,1,Driver (in this crash) was Registered Owner,1GC2KXC84DZ3,1GC2KXC84DZ3,2013,2013,467,Chevrolet,1850,Silverado,60,Pickup,20,Chevrolet,481,34,Light Pickup,0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",1,One Trailer,51W143225G10,51W143225G10,777777777777,No Trailing Units,777777777777,No Trailing Units,98,Not Reported,77,No Trailing Units,77,No Trailing Units,1,No,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,55,055 MPH,0,No Underride or Override,0,No Rollover,0,No Rollover,12,12 Clock Point,7,"Damage Reported, Extent Unknown",6,Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,20481,"Chevrolet C, K, R, V-series pickup/Silverado",1,G,C,2,K,X,C,8,4,D,Z,3,0,0,No,1,Yes,53,Washington,98235,98235,1,Full Driver License,6,Valid,6,Valid,1,"Endorsement(s) Required, Complied with",3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,67,67,160,160 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",2,Two lanes,55,55 MPH,4,Curve - Unknown Direction,2,"Grade, Unknown Slope",2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,14,Negotiating a Curve,62,From opposite direction  over left lane line,7,Steering right,1,Tracking,1,Stayed in original travel lane,51,"G51-Same Trafficway, Opposite Direction-Head-On-Lateral Move (Going Straight)"
41,Oregon,410002,1,2,1,January,1,1,22,10:00pm-10:59pm,22,22,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was Registered Owner,1HD1YYK16PB0,1HD1YYK16PB0,2023,2023,3888,Harley-Davidson,29172,FXBBS / Street Bob,94,Motorcycle - Custom,72,Harley-Davidson,706,80,Two Wheel Motorcycle (excluding motor scooters),0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,69,069 MPH,7,Not Applicable,8,Not Applicable,8,Not Applicable,12,12 Clock Point,6,Disabling Damage,6,Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,72706,Harley-Davidson 750cc or greater,1,H,D,1,Y,Y,K,1,6,P,B,0,1,1,Yes,1,Yes,41,Oregon,97206,97206,1,Full Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,2,No valid license for this class vehicle,0,No Restrictions or Not Applicable,72,72,190,190 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,5,"Yes, Specifics Unknown",1,"Two-Way, Not Divided",5,Five lanes,30,30 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,3,Traffic control signal(on colors) not known whether or not Pedestrian Signal,3,Device Functioning Properly,1,Going Straight,50,Other vehicle stopped,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,20,"D20-Same Trafficway, Same Direction-Rear End-Stopped"
41,Oregon,410002,2,2,1,January,1,1,22,10:00pm-10:59pm,22,22,12,Motor Vehicle In-Transport,1,Front-to-Rear,2,02,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was Registered Owner,5NPEB4AC6BH0,5NPEB4AC6BH0,2011,2011,498,Hyundai,2459,Sonata,13,Sedan/Saloon,55,Hyundai,33,4,"4-door sedan, hardtop",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,0,Stopped Motor Vehicle In-Transport,7,Not Applicable,0,No Rollover,0,No Rollover,6,6 Clock Point,6,Disabling Damage,6,Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,55033,Hyundai Sonata,5,N,P,E,B,4,A,C,6,B,H,0,0,0,No,1,Yes,41,Oregon,97206,97206,1,Full Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,74,74,205,205 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,1,"Two-Way, Not Divided",5,Five lanes,30,30 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",1,Dry,3,Traffic control signal(on colors) not known whether or not Pedestrian Signal,3,Device Functioning Properly,5,Stopped in Roadway,53,Traveling in same direction with higher speed,1,No Avoidance Maneuver,1,Tracking,1,Stayed in original travel lane,21,"D21-Same Trafficway, Same Direction-Rear End-Stopped, Straight"
41,Oregon,410003,1,1,1,January,2,2,18,6:00pm-6:59pm,0,0,59,Traffic Sign Support,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,2,02,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,53,Washington,2,Driver (in this crash) Not Registered Owner (Other Private Owner Listed),2C4RDGCG6DR6,2C4RDGCG6DR6,2013,2013,476,Dodge,14832,Grand Caravan,2,Minivan,7,Dodge,442,20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,999,Reported as Unknown,7,Not Applicable,3,Rollover,5,On Roadside,12,12 Clock Point,6,Disabling Damage,6,Towed,1,Rollover/Overturn,0,No or Not Reported,7442,Dodge Caravan/Grand Caravan,2,C,4,R,D,G,C,G,6,D,R,6,2,0,No,1,Yes,53,Washington,98944,98944,1,Full Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,67,67,170,170 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,4,"Yes, Too Fast for Conditions",1,"Two-Way, Not Divided",2,Two lanes,65,65 MPH,3,Curve Left,6,Downhill,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,14,Negotiating a Curve,13,Off the edge of the road on the right side,1,No Avoidance Maneuver,1,Tracking,4,Departed roadway,1,A1-Single Driver-Right Roadside Departure-Drive Off Road
41,Oregon,410004,1,9,1,January,3,3,17,5:00pm-5:59pm,28,28,57,Cable Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was Registered Owner,1GNFK16R3VJ3,1GNFK16R3VJ3,1997,1997,467,Chevrolet,1851,Suburban,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),20,Chevrolet,431,16,"Utility station wagon (includes suburban limousines, Suburban, Travellall, Grand Wagoneer)",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,999,Reported as Unknown,0,No Underride or Override,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,6,Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,20431,Chevrolet Suburban (from 1950-2003;see 422 for 2004 on),1,G,N,F,K,1,6,R,3,V,J,3,0,0,No,1,Yes,41,Oregon,97502,97502,1,Full Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,63,63,280,280 lbs.,0,,0,,0,,0,,0,,0,,1,1,1,January,2023,2023,1,January,2023,2023,9,Reported as Unknown,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,65,65 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,12,Off the edge of the road on the left side,99,Unknown/Not Reported,1,Tracking,4,Departed roadway,6,B6-Single Driver-Left Roadside Departure-Drive Off Road
41,Oregon,410004,2,9,1,January,3,3,17,5:00pm-5:59pm,28,28,57,Cable Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was Registered Owner,JT2AL35WXE01,JT2AL35WXE01,1984,1984,448,Toyota,3644,Tercel,15,Wagon,49,Toyota,38,6,Station Wagon (excluding van and truck based),0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,999,Reported as Unknown,8,Not Reported,0,No Rollover,0,No Rollover,11,11 Clock Point,6,Disabling Damage,6,Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,49038,Toyota Tercel,J,T,2,A,L,3,5,W,X,E,0,1,1,0,No,1,Yes,41,Oregon,97525,97525,1,Full Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,68,68,150,150 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,65,65 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,78,Encroachment by other vehicle - details unknown,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,98,M98-Other Crash Type
41,Oregon,410004,3,9,1,January,3,3,17,5:00pm-5:59pm,28,28,57,Cable Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was Registered Owner,1FAFP37N17W2,1FAFP37N17W2,2007,2007,460,Ford,1779,Focus,5,Hatchback/Liftback/Notchback,12,Ford,37,5,5-door/4-door hatchback,0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,999,Reported as Unknown,8,Not Reported,0,No Rollover,0,No Rollover,12,12 Clock Point,6,Disabling Damage,6,Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,12037,Ford Focus,1,F,A,F,P,3,7,N,1,7,W,2,0,0,No,1,Yes,41,Oregon,97527,97527,1,Full Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,65,65,135,135 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,65,65 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,78,Encroachment by other vehicle - details unknown,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,98,M98-Other Crash Type
41,Oregon,410004,4,9,1,January,3,3,17,5:00pm-5:59pm,28,28,57,Cable Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was Registered Owner,WD4PF0CDXKT0,WD4PF0CDXKT0,2019,2019,449,Mercedes-Benz,1703,Sprinter,9,Van,42,Mercedes-Benz,461,21,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",0,Not Applicable,12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",12,"Class 2: 6,001 - 10,000 lbs. (2,722 - 4,536 kg)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,66,066 MPH,8,Not Reported,0,No Rollover,0,No Rollover,98,Not Reported,7,"Damage Reported, Extent Unknown",5,Not Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,42461,Mercedes-Benz SPRINTER,W,D,4,P,F,0,C,D,X,K,T,0,0,0,No,1,Yes,41,Oregon,97355,97355,1,Full Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,72,72,150,150 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,65,65 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,78,Encroachment by other vehicle - details unknown,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,98,M98-Other Crash Type
41,Oregon,410004,5,9,1,January,3,3,17,5:00pm-5:59pm,28,28,57,Cable Barrier,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,1,01,1,Motor Vehicle In-Transport (Inside or Outside the Trafficway),0,No,41,Oregon,1,Driver (in this crash) was Registered Owner,2HKRW2H88MH6,2HKRW2H88MH6,2021,2021,474,Honda,1865,CR-V,7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),37,Honda,402,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,Not Applicable,11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",11,"Class 1: 6,000 lbs. or less (2,722 kg or less)",0,No Trailers,777777777777,No Trailing Units,777777777777,No Trailing Units,777777777777,No Trailing Units,77,No Trailing Units,77,No Trailing Units,77,No Trailing Units,0,Not an Articulated Vehicle,00000000000,Not Applicable,0,Not Applicable,000000000,Not Applicable,0,Not Applicable,0,Not Applicable (N/A),1,No,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not Applicable,0,Not a Bus,0,No Special Use Noted,0,Not Applicable,74,074 MPH,8,Not Reported,0,No Rollover,0,No Rollover,5,5 Clock Point,7,"Damage Reported, Extent Unknown",6,Towed,12,Motor Vehicle In-Transport,0,No or Not Reported,37402,Honda CR-V,2,H,K,R,W,2,H,8,8,M,H,6,0,0,No,1,Yes,41,Oregon,97526,97526,1,Full Driver License,6,Valid,0,No (CDL),0,No Endorsements required for this vehicle,3,Valid license for this class vehicle,0,No Restrictions or Not Applicable,66,66,170,170 lbs.,0,,0,,0,,0,,0,,0,,0,,0,No Record,0,No Record,0,No Record,0,No Record,0,No,3,"Two-Way,  Divided, Positive  Median Barrier",2,Two lanes,65,65 MPH,1,Straight,1,Level,2,"Blacktop, Bituminous, or Asphalt",2,Wet,97,Not Reported,8,Not Reported,1,Going Straight,78,Encroachment by other vehicle - details unknown,99,Unknown/Not Reported,1,Tracking,1,Stayed in original travel lane,98,M98-Other Crash Type
