STATE,STATENAME,ST_CASE,WEATHER,WEATHERNAME
41,Oregon,410001,2,Rain
41,Oregon,410001,10,Cloudy
41,Oregon,410002,2,Rain
41,Oregon,410003,98,Not Reported
41,Oregon,410004,2,Rain
41,Oregon,410005,10,Cloudy
41,Oregon,410006,5,"Fog, Smog, Smoke"
41,Oregon,410006,10,Cloudy
41,Oregon,410007,5,"Fog, Smog, Smoke"
41,Oregon,410008,1,Clear
41,Oregon,410009,1,Clear
41,Oregon,410010,10,Cloudy
41,Oregon,410011,5,"Fog, Smog, Smoke"
41,Oregon,410012,1,Clear
41,Oregon,410013,2,Rain
41,Oregon,410014,2,Rain
41,Oregon,410015,1,Clear
41,Oregon,410016,10,Cloudy
41,Oregon,410017,1,Clear
41,Oregon,410018,2,Rain
41,Oregon,410019,5,"Fog, Smog, Smoke"
41,Oregon,410020,1,Clear
41,Oregon,410021,10,Cloudy
41,Oregon,410022,2,Rain
41,Oregon,410023,1,Clear
41,Oregon,410024,4,Snow
41,Oregon,410025,98,Not Reported
41,Oregon,410026,10,Cloudy
41,Oregon,410027,1,Clear
41,Oregon,410028,2,Rain
41,Oregon,410029,10,Cloudy
41,Oregon,410030,2,Rain
41,Oregon,410031,2,Rain
41,Oregon,410032,1,Clear
41,Oregon,410033,10,Cloudy
41,Oregon,410034,10,Cloudy
41,Oregon,410035,1,Clear
41,Oregon,410036,98,Not Reported
41,Oregon,410037,1,Clear
41,Oregon,410038,1,Clear
41,Oregon,410039,10,Cloudy
41,Oregon,410040,1,Clear
41,Oregon,410041,10,Cloudy
41,Oregon,410042,2,Rain
41,Oregon,410043,1,Clear
41,Oregon,410044,1,Clear
41,Oregon,410045,2,Rain
41,Oregon,410046,10,Cloudy
41,Oregon,410047,2,Rain
41,Oregon,410048,2,Rain
41,Oregon,410049,10,Cloudy
41,Oregon,410050,2,Rain
41,Oregon,410051,10,Cloudy
41,Oregon,410052,2,Rain
41,Oregon,410053,2,Rain
41,Oregon,410054,1,Clear
41,Oregon,410055,2,Rain
41,Oregon,410056,2,Rain
41,Oregon,410057,2,Rain
41,Oregon,410058,1,Clear
41,Oregon,410059,1,Clear
41,Oregon,410060,1,Clear
41,Oregon,410061,10,Cloudy
41,Oregon,410062,1,Clear
41,Oregon,410063,1,Clear
41,Oregon,410064,1,Clear
41,Oregon,410065,1,Clear
41,Oregon,410066,1,Clear
41,Oregon,410067,10,Cloudy
41,Oregon,410068,1,Clear
41,Oregon,410069,5,"Fog, Smog, Smoke"
41,Oregon,410070,99,Reported as Unknown
41,Oregon,410071,1,Clear
41,Oregon,410072,2,Rain
41,Oregon,410073,10,Cloudy
41,Oregon,410074,2,Rain
41,Oregon,410075,1,Clear
41,Oregon,410076,98,Not Reported
41,Oregon,410077,2,Rain
41,Oregon,410078,10,Cloudy
41,Oregon,410079,1,Clear
41,Oregon,410080,10,Cloudy
41,Oregon,410081,1,Clear
41,Oregon,410082,1,Clear
41,Oregon,410083,1,Clear
41,Oregon,410084,1,Clear
41,Oregon,410085,1,Clear
41,Oregon,410086,1,Clear
41,Oregon,410087,10,Cloudy
41,Oregon,410088,99,Reported as Unknown
41,Oregon,410089,1,Clear
41,Oregon,410090,10,Cloudy
41,Oregon,410091,1,Clear
41,Oregon,410092,1,Clear
41,Oregon,410093,1,Clear
41,Oregon,410094,1,Clear
41,Oregon,410095,1,Clear
41,Oregon,410096,1,Clear
41,Oregon,410097,1,Clear
41,Oregon,410098,10,Cloudy
41,Oregon,410099,1,Clear
41,Oregon,410100,10,Cloudy
41,Oregon,410101,1,Clear
41,Oregon,410102,1,Clear
41,Oregon,410103,1,Clear
41,Oregon,410104,1,Clear
41,Oregon,410105,1,Clear
41,Oregon,410106,1,Clear
41,Oregon,410107,1,Clear
41,Oregon,410108,1,Clear
41,Oregon,410109,1,Clear
41,Oregon,410110,1,Clear
41,Oregon,410111,1,Clear
41,Oregon,410112,1,Clear
41,Oregon,410113,1,Clear
41,Oregon,410114,1,Clear
41,Oregon,410115,1,Clear
41,Oregon,410116,1,Clear
41,Oregon,410117,1,Clear
41,Oregon,410118,1,Clear
41,Oregon,410119,1,Clear
41,Oregon,410120,1,Clear
41,Oregon,410121,10,Cloudy
41,Oregon,410122,10,Cloudy
41,Oregon,410123,1,Clear
41,Oregon,410124,10,Cloudy
41,Oregon,410125,1,Clear
41,Oregon,410126,1,Clear
41,Oregon,410127,1,Clear
41,Oregon,410128,1,Clear
41,Oregon,410129,1,Clear
41,Oregon,410130,1,Clear
41,Oregon,410131,1,Clear
41,Oregon,410132,1,Clear
41,Oregon,410133,1,Clear
41,Oregon,410134,1,Clear
41,Oregon,410135,1,Clear
41,Oregon,410136,1,Clear
41,Oregon,410138,1,Clear
41,Oregon,410139,1,Clear
41,Oregon,410140,1,Clear
41,Oregon,410141,1,Clear
41,Oregon,410142,1,Clear
41,Oregon,410143,1,Clear
41,Oregon,410144,1,Clear
41,Oregon,410145,2,Rain
41,Oregon,410146,1,Clear
41,Oregon,410147,1,Clear
41,Oregon,410148,10,Cloudy
41,Oregon,410149,1,Clear
41,Oregon,410150,1,Clear
41,Oregon,410151,1,Clear
41,Oregon,410152,1,Clear
41,Oregon,410153,1,Clear
41,Oregon,410154,1,Clear
41,Oregon,410155,2,Rain
41,Oregon,410156,1,Clear
41,Oregon,410157,1,Clear
41,Oregon,410158,1,Clear
41,Oregon,410159,1,Clear
41,Oregon,410160,1,Clear
41,Oregon,410161,1,Clear
41,Oregon,410162,1,Clear
41,Oregon,410163,1,Clear
41,Oregon,410164,10,Cloudy
41,Oregon,410165,1,Clear
41,Oregon,410166,1,Clear
41,Oregon,410167,5,"Fog, Smog, Smoke"
41,Oregon,410168,1,Clear
41,Oregon,410169,1,Clear
41,Oregon,410170,1,Clear
41,Oregon,410171,1,Clear
41,Oregon,410172,1,Clear
41,Oregon,410173,1,Clear
41,Oregon,410174,1,Clear
41,Oregon,410175,1,Clear
41,Oregon,410176,1,Clear
41,Oregon,410177,10,Cloudy
41,Oregon,410178,1,Clear
41,Oregon,410179,1,Clear
41,Oregon,410180,1,Clear
41,Oregon,410181,1,Clear
41,Oregon,410182,1,Clear
41,Oregon,410183,1,Clear
41,Oregon,410184,1,Clear
41,Oregon,410185,1,Clear
41,Oregon,410186,1,Clear
41,Oregon,410187,1,Clear
41,Oregon,410188,1,Clear
41,Oregon,410189,1,Clear
41,Oregon,410190,1,Clear
41,Oregon,410191,1,Clear
41,Oregon,410192,1,Clear
41,Oregon,410193,1,Clear
41,Oregon,410194,1,Clear
41,Oregon,410195,1,Clear
41,Oregon,410196,1,Clear
41,Oregon,410197,1,Clear
41,Oregon,410198,1,Clear
41,Oregon,410199,98,Not Reported
41,Oregon,410200,1,Clear
41,Oregon,410201,1,Clear
41,Oregon,410202,1,Clear
41,Oregon,410203,1,Clear
41,Oregon,410204,1,Clear
41,Oregon,410205,1,Clear
41,Oregon,410206,1,Clear
41,Oregon,410207,1,Clear
41,Oregon,410208,10,Cloudy
41,Oregon,410209,5,"Fog, Smog, Smoke"
41,Oregon,410210,1,Clear
41,Oregon,410211,1,Clear
41,Oregon,410212,1,Clear
41,Oregon,410213,1,Clear
41,Oregon,410214,1,Clear
41,Oregon,410215,1,Clear
41,Oregon,410216,1,Clear
41,Oregon,410217,1,Clear
41,Oregon,410218,98,Not Reported
41,Oregon,410219,1,Clear
41,Oregon,410220,1,Clear
41,Oregon,410221,1,Clear
41,Oregon,410222,1,Clear
41,Oregon,410223,1,Clear
41,Oregon,410224,1,Clear
41,Oregon,410225,1,Clear
41,Oregon,410226,10,Cloudy
41,Oregon,410227,4,Snow
41,Oregon,410228,1,Clear
41,Oregon,410229,1,Clear
41,Oregon,410230,1,Clear
41,Oregon,410231,1,Clear
41,Oregon,410232,1,Clear
41,Oregon,410233,1,Clear
41,Oregon,410234,1,Clear
41,Oregon,410235,1,Clear
41,Oregon,410236,1,Clear
41,Oregon,410237,1,Clear
41,Oregon,410238,1,Clear
41,Oregon,410239,1,Clear
